# plane x_D = 4 | grid 13 x 13, spacing 0.25 D | 169 of 169 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp
-0.750,0.750,0.991,0.022,-0.019,0.013
-0.500,0.750,0.947,0.019,-0.030,0.018
-0.250,0.750,0.852,0.009,-0.028,0.022
0.000,0.750,0.772,0.001,-0.019,0.024
0.250,0.750,0.824,-0.007,-0.025,0.023
0.500,0.750,0.928,-0.017,-0.031,0.019
0.750,0.750,0.983,-0.022,-0.022,0.015
1.000,0.750,1.002,-0.020,-0.013,0.010
1.250,0.750,1.007,-0.016,-0.008,0.005
1.500,0.750,1.009,-0.014,-0.006,0.001
-1.500,1.000,1.009,0.011,-0.007,-0.001
-1.250,1.000,1.008,0.013,-0.009,0.002
-1.000,1.000,1.007,0.014,-0.013,0.005
-0.750,1.000,1.004,0.013,-0.018,0.009
-0.500,1.000,0.994,0.009,-0.023,0.012
-0.250,1.000,0.974,0.003,-0.023,0.015
0.000,1.000,0.958,0.000,-0.020,0.016
0.250,1.000,0.968,-0.002,-0.022,0.015
0.500,1.000,0.990,-0.007,-0.024,0.013
0.750,1.000,1.002,-0.013,-0.020,0.010
1.000,1.000,1.006,-0.014,-0.014,0.006
1.250,1.000,1.008,-0.013,-0.010,0.003
1.500,1.000,1.009,-0.012,-0.007,-0.000
-1.500,1.250,1.010,0.009,-0.007,-0.002
-1.250,1.250,1.009,0.010,-0.009,-0.000
-1.000,1.250,1.008,0.010,-0.012,0.002
-0.750,1.250,1.007,0.009,-0.016,0.004
-0.500,1.250,1.006,0.006,-0.018,0.007
-0.250,1.250,1.004,0.002,-0.018,0.008
0.000,1.250,1.003,0.000,-0.018,0.009
0.250,1.250,1.003,-0.002,-0.018,0.009
0.500,1.250,1.005,-0.005,-0.018,0.007
0.750,1.250,1.007,-0.008,-0.016,0.005
1.000,1.250,1.008,-0.010,-0.013,0.003
1.250,1.250,1.009,-0.010,-0.010,0.000
1.500,1.250,1.010,-0.009,-0.008,-0.002
-1.500,1.500,1.010,0.007,-0.007,-0.004
-1.250,1.500,1.010,0.008,-0.009,-0.002
-1.000,1.500,1.009,0.007,-0.011,-0.001
-0.750,1.500,1.009,0.006,-0.013,0.001
-0.500,1.500,1.008,0.004,-0.015,0.002
-0.250,1.500,1.008,0.002,-0.015,0.004
0.000,1.500,1.008,0.000,-0.016,0.004
0.250,1.500,1.008,-0.002,-0.016,0.004
0.500,1.500,1.008,-0.004,-0.015,0.003
0.750,1.500,1.009,-0.006,-0.014,0.001
1.000,1.500,1.009,-0.007,-0.012,-0.000
1.250,1.500,1.010,-0.008,-0.009,-0.002
1.500,1.500,1.010,-0.008,-0.008,-0.003
