# plane x_D = 1 | grid 13 x 13, spacing 0.25 D | 169 of 169 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp
-1.500,-1.500,1.031,-0.004,-0.004,-0.046
-1.250,-1.500,1.035,-0.003,-0.004,-0.053
-1.000,-1.500,1.039,-0.003,-0.004,-0.061
-0.750,-1.500,1.043,-0.004,-0.004,-0.070
-0.500,-1.500,1.047,-0.003,-0.005,-0.077
-0.250,-1.500,1.050,-0.002,-0.006,-0.082
0.000,-1.500,1.051,-0.000,-0.007,-0.084
0.250,-1.500,1.050,0.002,-0.006,-0.083
0.500,-1.500,1.048,0.003,-0.005,-0.078
0.750,-1.500,1.044,0.004,-0.004,-0.071
1.000,-1.500,1.040,0.003,-0.004,-0.063
1.250,-1.500,1.036,0.003,-0.004,-0.055
1.500,-1.500,1.032,0.004,-0.004,-0.047
-1.500,-1.250,1.035,-0.004,-0.004,-0.053
-1.250,-1.250,1.040,-0.003,-0.003,-0.063
-1.000,-1.250,1.046,-0.003,-0.002,-0.075
-0.750,-1.250,1.052,-0.003,-0.001,-0.087
-0.500,-1.250,1.058,-0.005,-0.002,-0.099
-0.250,-1.250,1.062,-0.005,-0.006,-0.107
0.000,-1.250,1.064,-0.001,-0.008,-0.111
0.250,-1.250,1.063,0.004,-0.006,-0.109
0.500,-1.250,1.059,0.005,-0.003,-0.101
0.750,-1.250,1.054,0.004,-0.001,-0.090
1.000,-1.250,1.047,0.003,-0.002,-0.078
1.250,-1.250,1.042,0.003,-0.003,-0.066
1.500,-1.250,1.036,0.003,-0.003,-0.056
-1.500,-1.000,1.039,-0.004,-0.003,-0.061
-1.250,-1.000,1.046,-0.002,-0.003,-0.075
-1.000,-1.000,1.054,-0.001,-0.001,-0.091
-0.750,-1.000,1.063,-0.001,0.004,-0.109
-0.500,-1.000,1.071,-0.008,0.005,-0.127
-0.250,-1.000,1.074,-0.012,-0.005,-0.142
0.000,-1.000,1.074,-0.002,-0.013,-0.149
0.250,-1.000,1.074,0.010,-0.008,-0.145
0.500,-1.000,1.072,0.010,0.003,-0.131
0.750,-1.000,1.065,0.003,0.005,-0.114
1.000,-1.000,1.056,0.001,0.000,-0.095
1.250,-1.000,1.048,0.002,-0.002,-0.079
1.500,-1.000,1.041,0.003,-0.003,-0.065
-1.500,-0.750,1.043,-0.004,-0.004,-0.070
-1.250,-0.750,1.052,-0.001,-0.003,-0.087
-1.000,-0.750,1.063,0.004,-0.001,-0.109
-0.750,-0.750,1.071,0.010,0.010,-0.135
-0.500,-0.750,1.016,0.000,0.027,-0.164
-0.250,-0.750,0.845,-0.012,0.005,-0.187
0.000,-0.750,0.743,-0.002,-0.012,-0.196
0.250,-0.750,0.806,0.011,-0.001,-0.191
0.500,-0.750,0.980,0.005,0.024,-0.171
0.750,-0.750,1.069,-0.010,0.016,-0.142
1.000,-0.750,1.066,-0.005,0.000,-0.115
1.250,-0.750,1.055,0.000,-0.003,-0.092
1.500,-0.750,1.045,0.003,-0.004,-0.074
-1.500,-0.500,1.047,-0.005,-0.003,-0.077
-1.250,-0.500,1.058,-0.002,-0.005,-0.099
-1.000,-0.500,1.071,0.005,-0.008,-0.127
-0.750,-0.500,1.016,0.027,0.000,-0.164
-0.500,-0.500,0.615,0.032,0.032,-0.195
-0.250,-0.500,0.233,-0.003,-0.011,-0.212
0.000,-0.500,0.106,-0.002,-0.035,-0.217
0.250,-0.500,0.182,0.006,-0.021,-0.214
0.500,-0.500,0.495,-0.023,0.027,-0.201
0.750,-0.500,0.950,-0.033,0.011,-0.173
1.000,-0.500,1.072,-0.008,-0.009,-0.136
1.250,-0.500,1.061,0.001,-0.006,-0.105
1.500,-0.500,1.049,0.004,-0.004,-0.082
-1.500,-0.250,1.050,-0.006,-0.002,-0.082
-1.250,-0.250,1.062,-0.006,-0.005,-0.107
-1.000,-0.250,1.074,-0.005,-0.012,-0.142
-0.750,-0.250,0.844,0.005,-0.012,-0.187
-0.500,-0.250,0.233,-0.011,-0.003,-0.212
-0.250,-0.250,-0.059,-0.023,-0.023,-0.217
0.000,-0.250,-0.188,-0.004,-0.031,-0.210
0.250,-0.250,-0.107,0.021,-0.027,-0.215
0.500,-0.250,0.142,0.018,-0.007,-0.215
0.750,-0.250,0.677,-0.007,-0.007,-0.196
1.000,-0.250,1.067,0.004,-0.014,-0.153
1.250,-0.250,1.066,0.006,-0.006,-0.115
1.500,-0.250,1.052,0.006,-0.003,-0.088
-1.500,0.000,1.051,-0.007,-0.000,-0.084
-1.250,0.000,1.064,-0.008,-0.001,-0.111
-1.000,0.000,1.074,-0.013,-0.002,-0.149
-0.750,0.000,0.743,-0.012,-0.002,-0.196
-0.500,0.000,0.106,-0.035,-0.002,-0.217
-0.250,0.000,-0.188,-0.031,-0.004,-0.210
0.000,0.000,-0.302,-0.004,-0.004,-0.197
0.250,0.000,-0.233,0.026,-0.004,-0.206
0.500,0.000,0.015,0.037,-0.002,-0.218
0.750,0.000,0.544,0.013,-0.002,-0.204
1.000,0.000,1.060,0.014,-0.002,-0.161
1.250,0.000,1.068,0.009,-0.001,-0.119
1.500,0.000,1.054,0.007,-0.000,-0.090
-1.500,0.250,1.050,-0.006,0.002,-0.083
-1.250,0.250,1.063,-0.006,0.004,-0.109
-1.000,0.250,1.074,-0.008,0.010,-0.145
-0.750,0.250,0.805,-0.001,0.011,-0.191
-0.500,0.250,0.182,-0.021,0.006,-0.214
-0.250,0.250,-0.108,-0.027,0.021,-0.215
0.000,0.250,-0.233,-0.004,0.026,-0.206
0.250,0.250,-0.155,0.023,0.023,-0.212
0.500,0.250,0.093,0.026,0.009,-0.217
0.750,0.250,0.624,0.001,0.008,-0.200
1.000,0.250,1.064,0.008,0.013,-0.156
1.250,0.250,1.067,0.007,0.005,-0.116
1.500,0.250,1.053,0.006,0.002,-0.089
-1.500,0.500,1.048,-0.005,0.003,-0.078
-1.250,0.500,1.059,-0.003,0.005,-0.101
-1.000,0.500,1.072,0.003,0.010,-0.131
-0.750,0.500,0.979,0.024,0.005,-0.171
-0.500,0.500,0.495,0.026,-0.023,-0.201
-0.250,0.500,0.142,-0.007,0.018,-0.215
0.000,0.500,0.014,-0.002,0.037,-0.218
0.250,0.500,0.092,0.009,0.027,-0.217
0.500,0.500,0.380,-0.017,-0.017,-0.205
0.750,0.500,0.886,-0.030,-0.006,-0.180
1.000,0.500,1.072,-0.006,0.012,-0.141
1.250,0.500,1.062,0.002,0.006,-0.108
1.500,0.500,1.050,0.005,0.004,-0.084
-1.500,0.750,1.044,-0.004,0.004,-0.071
-1.250,0.750,1.054,-0.001,0.004,-0.090
-1.000,0.750,1.065,0.005,0.003,-0.114
-0.750,0.750,1.069,0.016,-0.010,-0.142
-0.500,0.750,0.950,0.011,-0.033,-0.173
-0.250,0.750,0.677,-0.007,-0.007,-0.196
0.000,0.750,0.544,-0.002,0.013,-0.204
0.250,0.750,0.624,0.008,0.001,-0.200
0.500,0.750,0.886,-0.006,-0.030,-0.180
0.750,0.750,1.059,-0.018,-0.018,-0.150
1.000,0.750,1.068,-0.007,0.001,-0.120
1.250,0.750,1.056,0.000,0.004,-0.096
1.500,0.750,1.046,0.003,0.004,-0.076
-1.500,1.000,1.040,-0.004,0.003,-0.063
-1.250,1.000,1.047,-0.002,0.003,-0.078
-1.000,1.000,1.056,0.000,0.001,-0.095
-0.750,1.000,1.066,-0.000,-0.005,-0.115
-0.500,1.000,1.072,-0.009,-0.008,-0.136
-0.250,1.000,1.067,-0.014,0.004,-0.153
0.000,1.000,1.060,-0.002,0.014,-0.161
0.250,1.000,1.065,0.013,0.008,-0.156
0.500,1.000,1.072,0.012,-0.006,-0.141
0.750,1.000,1.068,0.001,-0.007,-0.120
1.000,1.000,1.058,-0.001,-0.001,-0.100
1.250,1.000,1.050,0.002,0.002,-0.082
1.500,1.000,1.042,0.003,0.003,-0.067
-1.500,1.250,1.036,-0.004,0.003,-0.055
-1.250,1.250,1.042,-0.003,0.003,-0.066
-1.000,1.250,1.048,-0.002,0.002,-0.079
-0.750,1.250,1.055,-0.003,0.000,-0.092
-0.500,1.250,1.061,-0.006,0.001,-0.105
-0.250,1.250,1.066,-0.006,0.006,-0.115
0.000,1.250,1.068,-0.001,0.009,-0.119
0.250,1.250,1.067,0.005,0.007,-0.116
0.500,1.250,1.062,0.006,0.002,-0.108
0.750,1.250,1.056,0.004,0.000,-0.096
1.000,1.250,1.050,0.002,0.002,-0.082
1.250,1.250,1.043,0.003,0.003,-0.069
1.500,1.250,1.037,0.003,0.003,-0.058
-1.500,1.500,1.032,-0.004,0.004,-0.047
-1.250,1.500,1.036,-0.003,0.003,-0.056
-1.000,1.500,1.041,-0.003,0.003,-0.065
-0.750,1.500,1.045,-0.004,0.003,-0.074
-0.500,1.500,1.049,-0.004,0.004,-0.082
-0.250,1.500,1.052,-0.003,0.006,-0.088
0.000,1.500,1.054,-0.000,0.007,-0.090
0.250,1.500,1.053,0.002,0.006,-0.089
0.500,1.500,1.050,0.004,0.005,-0.084
0.750,1.500,1.046,0.004,0.003,-0.076
1.000,1.500,1.042,0.003,0.003,-0.067
1.250,1.500,1.037,0.003,0.003,-0.058
1.500,1.500,1.033,0.004,0.004,-0.049
