# plane x_cr = 0.90 | grid 33 x 13, spacing 0.0313 x 0.0225 c_r | 404 of 429 nodes | y [-0.5,0.5] z [-0.05,0.22], bin-averaged from 37644 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
-0.485,-0.040,0.936,-0.118,0.290,0.025,-0.028,-1.712
-0.455,-0.040,0.912,-0.187,0.277,0.057,-0.030,-6.289
-0.424,-0.040,0.890,-0.243,0.228,0.095,-0.038,-15.337
-0.394,-0.040,0.798,-0.252,0.077,0.135,-83.633,-382.254
-0.364,-0.040,0.743,-0.164,0.023,0.110,-93.690,-1.186
-0.333,-0.040,0.738,-0.122,0.018,0.080,-57.929,3.067
-0.303,-0.040,0.726,-0.096,0.014,0.059,-45.272,-0.859
-0.273,-0.040,0.726,-0.080,0.012,0.047,-36.724,-0.471
-0.242,-0.040,0.713,-0.066,0.009,0.038,-31.040,-0.247
-0.212,-0.040,0.669,-0.050,0.006,0.033,-28.970,10.935
-0.182,-0.040,0.662,-0.041,0.005,0.030,-23.802,12.392
-0.152,-0.040,0.656,-0.032,0.004,0.027,-18.668,10.116
-0.121,-0.040,0.658,-0.026,0.004,0.026,-14.399,4.371
-0.091,-0.040,0.661,-0.019,0.005,0.025,-9.826,4.841
-0.061,-0.040,0.648,-0.013,0.004,0.025,-7.091,5.014
-0.030,-0.040,0.657,-0.006,0.004,0.024,-3.421,9.603
0.000,-0.040,0.653,0.000,0.004,0.024,-0.012,4.991
0.030,-0.040,0.666,0.007,0.005,0.024,3.551,3.267
0.061,-0.040,0.662,0.013,0.005,0.024,6.783,3.935
0.091,-0.040,0.648,0.018,0.004,0.025,10.212,8.979
0.121,-0.040,0.655,0.025,0.004,0.026,14.328,6.678
0.152,-0.040,0.657,0.033,0.004,0.027,19.132,10.759
0.182,-0.040,0.679,0.042,0.006,0.029,22.498,1.630
0.212,-0.040,0.682,0.051,0.006,0.033,27.651,4.888
0.242,-0.040,0.713,0.066,0.009,0.038,30.932,-0.236
0.273,-0.040,0.724,0.080,0.012,0.046,36.817,-0.459
0.303,-0.040,0.727,0.096,0.014,0.059,45.180,-0.860
0.333,-0.040,0.745,0.123,0.019,0.079,55.918,-2.853
0.364,-0.040,0.753,0.162,0.024,0.107,84.730,-1.328
0.394,-0.040,0.796,0.249,0.077,0.135,85.332,-434.236
0.424,-0.040,0.890,0.242,0.227,0.096,0.038,-15.301
0.455,-0.040,0.911,0.187,0.276,0.058,0.030,-6.290
0.485,-0.040,0.930,0.136,0.288,0.033,0.034,-2.360
-0.485,-0.019,0.931,-0.118,0.329,0.010,-0.039,-2.936
-0.455,-0.019,0.899,-0.200,0.345,0.032,-0.041,-12.585
-0.424,-0.019,0.850,-0.316,0.325,0.069,-0.018,-59.926
-0.394,-0.019,0.519,-0.310,0.121,0.137,-423.362,-21.175
0.394,-0.019,0.518,0.309,0.120,0.138,421.010,-19.504
0.424,-0.019,0.849,0.316,0.323,0.071,0.018,-59.420
0.455,-0.019,0.899,0.200,0.345,0.033,0.041,-12.606
0.485,-0.019,0.925,0.132,0.334,0.014,0.059,-3.732
-0.485,0.002,0.933,-0.103,0.356,-0.007,0.000,-3.321
-0.455,0.002,0.907,-0.168,0.403,-0.013,-0.041,-13.914
-0.424,0.002,0.836,-0.318,0.502,-0.101,-15.560,198.496
-0.394,0.002,0.636,-0.313,0.043,-0.334,6.849,-18618.962
-0.364,0.002,0.790,0.017,0.002,-0.678,-94.249,-167.773
-0.333,0.002,0.477,-0.165,0.028,-0.665,166.668,-158.648
-0.303,0.002,0.459,-0.468,0.055,-0.811,320.366,-457.778
-0.273,0.002,0.526,-0.896,0.012,-1.133,1106.138,-151.344
-0.242,0.002,0.566,-0.818,-0.020,-0.805,1126.957,-100.786
-0.212,0.002,0.620,-0.518,-0.024,-0.294,697.742,-101.699
-0.182,0.002,0.648,-0.299,-0.016,-0.110,374.619,-44.959
-0.152,0.002,0.655,-0.151,-0.009,-0.075,168.644,-11.946
-0.121,0.002,0.649,-0.077,-0.005,-0.085,76.980,-3.318
-0.091,0.002,0.638,-0.037,-0.003,-0.098,30.880,-0.896
-0.061,0.002,0.627,-0.012,-0.002,-0.107,4.911,-0.166
-0.030,0.002,0.604,0.005,-0.001,-0.113,-10.486,0.478
0.000,0.002,0.537,0.000,0.001,-0.115,-0.018,0.425
0.030,0.002,0.603,-0.004,-0.001,-0.113,9.504,0.468
0.061,0.002,0.627,0.012,-0.002,-0.107,-5.467,-0.139
