# plane x_cr = 0.90 | grid 33 x 13, spacing 0.0313 x 0.0225 c_r | 404 of 429 nodes | y [-0.5,0.5] z [-0.05,0.22], bin-averaged from 37644 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
0.091,0.002,0.638,0.037,-0.003,-0.098,-31.481,-0.895
0.121,0.002,0.649,0.078,-0.005,-0.086,-77.603,-3.282
0.152,0.002,0.656,0.151,-0.009,-0.076,-169.146,-11.842
0.182,0.002,0.649,0.299,-0.016,-0.113,-374.364,-44.515
0.212,0.002,0.622,0.516,-0.024,-0.296,-695.539,-100.755
0.242,0.002,0.568,0.815,-0.020,-0.803,-1122.725,-100.789
0.273,0.002,0.528,0.894,0.012,-1.128,-1101.947,-152.905
0.303,0.002,0.463,0.468,0.055,-0.809,-320.574,-461.950
0.333,0.002,0.483,0.166,0.028,-0.667,-174.012,-172.569
0.364,0.002,0.800,-0.014,-0.002,-0.685,98.083,-229.369
0.394,0.002,0.638,0.292,0.040,-0.337,-7.856,-15524.603
0.424,0.002,0.835,0.319,0.500,-0.095,15.698,244.681
0.455,0.002,0.905,0.169,0.403,-0.011,0.041,-14.036
0.485,0.002,0.928,0.114,0.365,-0.007,-0.001,-4.068
-0.485,0.023,0.936,-0.081,0.381,-0.027,-0.009,-3.411
-0.455,0.023,0.921,-0.113,0.442,-0.056,0.011,-10.304
-0.424,0.023,0.912,-0.143,0.561,-0.173,-2.351,-14.134
-0.394,0.023,0.864,-0.351,-0.029,-0.401,-19.947,2.224
-0.364,0.023,0.763,-0.514,0.054,-0.728,43.654,471.613
-0.333,0.023,0.815,-0.836,0.395,-0.765,21.524,-113.207
-0.303,0.023,0.812,-1.152,0.354,-1.126,-2.122,-122.812
-0.273,0.023,0.798,-1.348,0.052,-1.514,-9.051,-30.457
-0.242,0.023,0.825,-1.104,-0.258,-1.012,-5.283,-180.775
-0.212,0.023,0.904,-0.652,-0.270,-0.338,0.071,-188.618
-0.182,0.023,0.965,-0.394,-0.175,-0.126,-0.142,-74.507
-0.152,0.023,1.011,-0.217,-0.085,-0.080,0.035,-19.877
-0.121,0.023,1.033,-0.129,-0.048,-0.087,0.000,-6.294
-0.091,0.023,1.045,-0.077,-0.030,-0.098,-0.004,-2.228
-0.061,0.023,1.051,-0.045,-0.020,-0.107,0.123,-0.865
-0.030,0.023,1.055,-0.024,-0.013,-0.112,0.522,-0.323
0.000,0.023,1.053,0.000,-0.003,-0.114,-0.011,-0.408
0.030,0.023,1.055,0.024,-0.013,-0.112,-0.515,-0.332
0.061,0.023,1.051,0.045,-0.020,-0.107,-0.123,-0.867
0.091,0.023,1.045,0.077,-0.030,-0.099,0.006,-2.229
0.121,0.023,1.033,0.129,-0.048,-0.088,-0.004,-6.283
0.152,0.023,1.012,0.218,-0.085,-0.081,-0.049,-19.771
0.182,0.023,0.967,0.394,-0.174,-0.129,0.134,-73.539
0.212,0.023,0.907,0.651,-0.269,-0.340,-0.107,-186.277
0.242,0.023,0.828,1.101,-0.259,-1.009,5.093,-182.179
0.273,0.023,0.799,1.345,0.048,-1.509,9.061,-30.443
0.303,0.023,0.811,1.151,0.354,-1.123,2.299,-121.811
0.333,0.023,0.812,0.828,0.394,-0.764,-22.175,-111.264
0.364,0.023,0.768,0.515,0.033,-0.726,-43.437,486.442
0.394,0.023,0.849,0.363,-0.012,-0.389,24.007,-30.461
0.424,0.023,0.908,0.146,0.563,-0.171,2.580,-12.852
0.455,0.023,0.920,0.114,0.443,-0.055,-0.011,-10.639
0.485,0.023,0.933,0.086,0.390,-0.029,0.014,-3.981
-0.485,0.043,0.941,-0.049,0.392,-0.042,-0.052,-2.816
-0.455,0.043,0.932,-0.057,0.453,-0.076,0.012,-6.831
-0.424,0.043,0.921,-0.057,0.547,-0.151,0.104,-15.735
-0.394,0.043,0.781,-0.228,0.352,-0.283,-34.192,-172.726
-0.364,0.043,0.874,-0.791,0.216,-0.538,1.884,-177.883
-0.333,0.043,0.907,-0.849,0.522,-0.834,-8.376,-115.180
-0.303,0.043,1.029,-0.960,0.535,-1.572,-31.133,112.177
-0.273,0.043,1.140,-1.151,0.065,-2.412,-53.318,829.087
-0.242,0.043,1.055,-0.865,-0.535,-1.513,-34.003,101.485
-0.212,0.043,0.945,-0.487,-0.521,-0.452,-8.305,-196.952
-0.182,0.043,0.984,-0.283,-0.318,-0.157,0.149,-90.409
-0.152,0.043,1.020,-0.163,-0.159,-0.095,-0.091,-18.826
-0.121,0.043,1.037,-0.101,-0.092,-0.095,0.006,-5.579
-0.091,0.043,1.046,-0.059,-0.059,-0.102,0.051,-1.820
-0.061,0.043,1.051,-0.035,-0.038,-0.107,0.036,-0.648
-0.030,0.043,1.052,-0.018,-0.027,-0.110,0.039,-0.367
0.000,0.043,1.053,0.000,-0.022,-0.111,0.000,-0.448
0.030,0.043,1.052,0.018,-0.027,-0.110,-0.039,-0.366
0.061,0.043,1.051,0.035,-0.038,-0.107,-0.036,-0.651
0.091,0.043,1.046,0.060,-0.059,-0.102,-0.051,-1.825
0.121,0.043,1.037,0.101,-0.092,-0.095,-0.005,-5.584
0.152,0.043,1.021,0.164,-0.159,-0.097,0.090,-18.748
0.182,0.043,0.985,0.284,-0.316,-0.160,-0.132,-88.547
0.212,0.043,0.947,0.490,-0.519,-0.454,7.742,-196.536
0.242,0.043,1.057,0.869,-0.536,-1.507,33.096,88.596
0.273,0.043,1.142,1.155,0.061,-2.409,52.753,813.055
0.303,0.043,1.030,0.957,0.537,-1.568,31.138,113.991
0.333,0.043,0.907,0.841,0.522,-0.822,8.449,-122.612
0.364,0.043,0.869,0.780,0.196,-0.531,-0.936,-193.304
0.394,0.043,0.775,0.209,0.360,-0.299,35.627,-123.572
0.424,0.043,0.920,0.054,0.552,-0.155,-0.099,-17.445
0.455,0.043,0.931,0.056,0.454,-0.076,-0.013,-7.184
0.485,0.043,0.939,0.051,0.401,-0.045,0.070,-3.281
-0.485,0.064,0.946,-0.018,0.393,-0.051,-0.036,-2.366
-0.455,0.064,0.939,-0.009,0.449,-0.083,-0.010,-5.615
-0.424,0.064,0.926,0.020,0.535,-0.144,0.007,-17.195
-0.394,0.064,0.853,0.087,0.609,-0.300,-15.564,27.981
-0.364,0.064,0.834,-0.216,0.371,-0.543,-41.626,28.270
-0.333,0.064,1.134,-0.363,0.509,-0.858,-27.384,-159.942
-0.303,0.064,1.349,-0.211,0.558,-1.662,-44.042,56.886
-0.273,0.064,1.468,-0.107,0.076,-2.839,-95.880,2180.246
-0.242,0.064,1.285,-0.080,-0.657,-1.726,-52.892,410.733
-0.212,0.064,1.039,-0.082,-0.591,-0.522,-14.908,-176.824
-0.182,0.064,1.013,-0.122,-0.393,-0.202,-0.200,-95.065
-0.152,0.064,1.033,-0.093,-0.196,-0.116,0.000,-15.959
-0.121,0.064,1.042,-0.066,-0.116,-0.104,0.035,-4.627
-0.091,0.064,1.046,-0.046,-0.078,-0.104,0.065,-1.812
-0.061,0.064,1.050,-0.026,-0.049,-0.107,0.053,-0.545
-0.030,0.064,1.051,-0.014,-0.035,-0.109,-0.023,-0.263
0.000,0.064,1.052,0.000,-0.031,-0.109,0.000,-0.237
0.030,0.064,1.051,0.014,-0.035,-0.109,0.024,-0.263
0.061,0.064,1.050,0.026,-0.049,-0.107,-0.052,-0.548
0.091,0.064,1.047,0.046,-0.078,-0.105,-0.065,-1.818
0.121,0.064,1.042,0.066,-0.116,-0.105,-0.034,-4.638
0.152,0.064,1.033,0.094,-0.196,-0.117,0.001,-15.933
0.182,0.064,1.014,0.125,-0.392,-0.203,-0.112,-96.047
0.212,0.064,1.040,0.095,-0.595,-0.525,14.758,-172.981
0.242,0.064,1.287,0.101,-0.659,-1.731,52.596,403.803
0.273,0.064,1.468,0.123,0.078,-2.860,96.578,2217.636
0.303,0.064,1.346,0.210,0.569,-1.661,43.945,56.267
0.333,0.064,1.131,0.353,0.507,-0.838,26.860,-174.051
0.364,0.064,0.828,0.193,0.366,-0.532,41.222,21.308
0.394,0.064,0.863,-0.096,0.609,-0.305,14.720,26.540
0.424,0.064,0.927,-0.024,0.536,-0.148,-0.006,-17.210
0.455,0.064,0.939,0.008,0.450,-0.084,0.011,-5.790
0.485,0.064,0.945,0.017,0.403,-0.055,0.046,-2.727
-0.485,0.085,0.952,0.011,0.388,-0.056,-0.025,-2.035
-0.455,0.085,0.946,0.035,0.435,-0.086,-0.023,-4.687
-0.424,0.085,0.941,0.086,0.500,-0.144,0.001,-13.195
-0.394,0.085,0.945,0.208,0.579,-0.275,-0.133,-39.040
-0.364,0.085,0.952,0.368,0.546,-0.528,-14.217,40.499
-0.333,0.085,1.088,0.393,0.413,-0.846,-29.602,114.269
-0.303,0.085,1.331,0.505,0.332,-1.294,-23.384,-69.680
-0.273,0.085,1.428,0.713,0.010,-1.784,-29.307,126.121
-0.242,0.085,1.248,0.548,-0.461,-1.208,-14.244,-100.946
-0.212,0.085,1.084,0.216,-0.421,-0.486,-0.715,-122.304
-0.182,0.085,1.054,0.048,-0.349,-0.240,-1.450,-52.819
-0.152,0.085,1.047,-0.015,-0.197,-0.139,0.034,-11.755
-0.121,0.085,1.048,-0.023,-0.124,-0.115,0.028,-3.660
-0.091,0.085,1.049,-0.019,-0.085,-0.109,0.019,-1.415
-0.061,0.085,1.049,-0.015,-0.056,-0.107,0.012,-0.469
-0.030,0.085,1.051,-0.008,-0.041,-0.107,-0.037,-0.185
0.000,0.085,1.051,0.000,-0.037,-0.107,0.000,-0.100
0.030,0.085,1.051,0.008,-0.041,-0.107,0.037,-0.186
0.061,0.085,1.050,0.015,-0.056,-0.107,-0.012,-0.472
0.091,0.085,1.049,0.020,-0.085,-0.109,-0.019,-1.422
0.121,0.085,1.048,0.023,-0.124,-0.116,-0.028,-3.676
0.152,0.085,1.047,0.016,-0.197,-0.139,-0.035,-11.803
0.182,0.085,1.053,-0.045,-0.353,-0.240,0.821,-58.221
0.212,0.085,1.084,-0.214,-0.428,-0.488,1.804,-125.662
0.242,0.085,1.247,-0.547,-0.462,-1.221,15.766,-90.212
0.273,0.085,1.428,-0.714,0.021,-1.807,30.584,148.692
0.303,0.085,1.328,-0.506,0.347,-1.291,22.857,-78.275
0.333,0.085,1.089,-0.394,0.416,-0.829,28.429,100.464
0.364,0.085,0.958,-0.367,0.545,-0.516,13.286,33.819
0.394,0.085,0.948,-0.209,0.574,-0.275,0.067,-36.554
0.424,0.085,0.942,-0.089,0.499,-0.146,-0.001,-12.825
0.455,0.085,0.947,-0.036,0.435,-0.087,0.024,-4.712
0.485,0.085,0.951,-0.014,0.395,-0.060,0.028,-2.298
-0.485,0.106,0.958,0.036,0.373,-0.058,0.032,-1.650
-0.455,0.106,0.955,0.069,0.414,-0.089,-0.061,-3.694
-0.424,0.106,0.957,0.128,0.456,-0.141,0.020,-8.923
-0.394,0.106,0.974,0.235,0.488,-0.244,-0.004,-20.323
-0.364,0.106,1.026,0.382,0.467,-0.419,0.077,-36.381
-0.333,0.106,1.118,0.513,0.366,-0.647,0.423,-49.455
-0.303,0.106,1.218,0.589,0.216,-0.877,0.454,-65.642
-0.273,0.106,1.261,0.616,-0.008,-0.973,0.955,-125.851
-0.242,0.106,1.206,0.459,-0.236,-0.737,2.184,-112.661
-0.212,0.106,1.115,0.246,-0.268,-0.420,-1.660,-28.772
-0.182,0.106,1.079,0.128,-0.248,-0.244,0.200,-27.555
-0.152,0.106,1.059,0.046,-0.168,-0.154,-0.059,-7.742
-0.121,0.106,1.053,0.015,-0.114,-0.123,0.020,-2.876
-0.091,0.106,1.051,0.004,-0.080,-0.112,-0.017,-1.146
-0.061,0.106,1.049,-0.002,-0.056,-0.106,-0.025,-0.401
-0.030,0.106,1.050,-0.002,-0.043,-0.105,-0.013,-0.115
0.000,0.106,1.050,0.000,-0.039,-0.105,0.000,-0.027
0.030,0.106,1.050,0.003,-0.043,-0.105,0.013,-0.116
0.061,0.106,1.049,0.002,-0.056,-0.107,0.025,-0.404
0.091,0.106,1.051,-0.003,-0.080,-0.112,0.017,-1.153
0.121,0.106,1.053,-0.015,-0.114,-0.123,-0.021,-2.895
0.152,0.106,1.059,-0.045,-0.169,-0.154,0.059,-7.819
0.182,0.106,1.078,-0.128,-0.250,-0.243,-0.269,-28.909
0.212,0.106,1.115,-0.250,-0.271,-0.421,1.634,-29.262
0.242,0.106,1.204,-0.465,-0.234,-0.742,-2.471,-116.155
0.273,0.106,1.261,-0.622,-0.002,-0.979,-1.051,-130.934
0.303,0.106,1.217,-0.587,0.225,-0.874,-0.467,-66.035
0.333,0.106,1.117,-0.506,0.368,-0.639,-0.420,-47.086
0.364,0.106,1.026,-0.377,0.465,-0.413,-0.060,-34.329
0.394,0.106,0.976,-0.233,0.485,-0.244,0.003,-19.284
0.424,0.106,0.959,-0.129,0.455,-0.143,-0.021,-8.652
0.455,0.106,0.956,-0.070,0.414,-0.090,0.062,-3.665
0.485,0.106,0.957,-0.042,0.382,-0.064,-0.050,-1.952
-0.485,0.127,0.963,0.052,0.359,-0.059,0.051,-1.334
-0.455,0.127,0.963,0.096,0.394,-0.093,-0.095,-2.997
-0.424,0.127,0.970,0.148,0.414,-0.135,0.025,-6.020
-0.394,0.127,0.991,0.236,0.422,-0.216,-0.002,-11.859
-0.364,0.127,1.033,0.341,0.390,-0.338,-0.005,-19.031
-0.333,0.127,1.097,0.431,0.304,-0.484,0.000,-25.770
-0.303,0.127,1.159,0.480,0.179,-0.608,0.001,-32.862
-0.273,0.127,1.186,0.473,0.024,-0.634,0.052,-41.626
-0.242,0.127,1.164,0.380,-0.116,-0.516,0.036,-35.641
-0.212,0.127,1.123,0.265,-0.174,-0.362,0.289,-23.237
-0.182,0.127,1.083,0.150,-0.164,-0.223,0.005,-11.641
-0.152,0.127,1.064,0.079,-0.132,-0.157,-0.025,-5.233
-0.121,0.127,1.055,0.041,-0.095,-0.126,-0.017,-2.251
-0.091,0.127,1.051,0.022,-0.072,-0.113,-0.032,-1.047
-0.061,0.127,1.049,0.010,-0.051,-0.105,-0.032,-0.378
-0.030,0.127,1.049,0.003,-0.041,-0.103,0.015,-0.119
0.000,0.127,1.048,0.000,-0.036,-0.102,0.000,-0.035
0.030,0.127,1.049,-0.002,-0.041,-0.103,-0.015,-0.120
0.061,0.127,1.049,-0.010,-0.051,-0.105,0.032,-0.380
0.091,0.127,1.052,-0.022,-0.072,-0.113,0.032,-1.054
0.121,0.127,1.055,-0.041,-0.096,-0.126,0.017,-2.268
0.152,0.127,1.064,-0.079,-0.132,-0.157,0.025,-5.295
0.182,0.127,1.082,-0.150,-0.166,-0.223,-0.002,-11.887
0.212,0.127,1.123,-0.268,-0.175,-0.362,-0.266,-23.995
0.242,0.127,1.164,-0.384,-0.115,-0.518,-0.046,-36.166
0.273,0.127,1.185,-0.476,0.028,-0.635,-0.050,-42.358
0.303,0.127,1.158,-0.479,0.184,-0.606,-0.002,-32.752
0.333,0.127,1.096,-0.428,0.306,-0.481,0.000,-25.018
0.364,0.127,1.033,-0.338,0.390,-0.335,0.005,-18.294
0.394,0.127,0.991,-0.234,0.420,-0.215,0.001,-11.412
0.424,0.127,0.971,-0.148,0.413,-0.136,-0.025,-5.860
0.455,0.127,0.964,-0.096,0.394,-0.094,0.095,-2.960
0.485,0.127,0.963,-0.062,0.368,-0.067,-0.090,-1.660
-0.485,0.147,0.968,0.063,0.345,-0.059,0.013,-1.033
-0.455,0.147,0.971,0.110,0.370,-0.092,-0.078,-2.312
-0.424,0.147,0.980,0.158,0.376,-0.128,0.003,-4.043
-0.394,0.147,1.000,0.225,0.368,-0.187,-0.040,-7.090
-0.364,0.147,1.033,0.301,0.334,-0.270,0.084,-10.621
-0.333,0.147,1.077,0.362,0.262,-0.361,-0.061,-14.346
-0.303,0.147,1.117,0.393,0.164,-0.430,0.027,-17.036
-0.273,0.147,1.136,0.380,0.054,-0.439,-0.017,-18.688
-0.242,0.147,1.128,0.323,-0.042,-0.380,0.101,-16.157
-0.212,0.147,1.107,0.249,-0.099,-0.301,-0.093,-12.910
-0.182,0.147,1.080,0.159,-0.107,-0.204,-0.043,-6.781
-0.152,0.147,1.064,0.098,-0.094,-0.153,0.014,-3.730
-0.121,0.147,1.056,0.059,-0.073,-0.125,-0.031,-1.786
-0.091,0.147,1.051,0.037,-0.057,-0.111,-0.018,-0.943
-0.061,0.147,1.049,0.019,-0.042,-0.103,-0.036,-0.387
-0.030,0.147,1.048,0.007,-0.035,-0.100,-0.003,-0.172
0.000,0.147,1.048,0.000,-0.032,-0.099,0.000,-0.085
0.030,0.147,1.048,-0.006,-0.035,-0.100,0.003,-0.173
0.061,0.147,1.049,-0.019,-0.042,-0.103,0.036,-0.389
0.091,0.147,1.051,-0.037,-0.057,-0.112,0.018,-0.949
0.121,0.147,1.056,-0.059,-0.073,-0.125,0.031,-1.800
0.152,0.147,1.064,-0.098,-0.095,-0.153,-0.014,-3.771
0.182,0.147,1.080,-0.159,-0.107,-0.204,0.043,-6.891
0.212,0.147,1.107,-0.251,-0.099,-0.301,0.099,-13.148
0.242,0.147,1.127,-0.325,-0.041,-0.380,-0.104,-16.365
0.273,0.147,1.135,-0.382,0.056,-0.439,0.015,-18.835
0.303,0.147,1.116,-0.392,0.167,-0.429,-0.025,-16.952
0.333,0.147,1.077,-0.361,0.264,-0.360,0.060,-14.065
0.364,0.147,1.033,-0.299,0.334,-0.269,-0.083,-10.328
0.394,0.147,1.001,-0.224,0.368,-0.187,0.040,-6.891
0.424,0.147,0.981,-0.157,0.376,-0.128,-0.003,-3.954
0.455,0.147,0.971,-0.110,0.369,-0.093,0.078,-2.281
0.485,0.147,0.968,-0.076,0.353,-0.068,-0.053,-1.341
-0.485,0.168,0.972,0.070,0.330,-0.058,0.004,-0.783
-0.455,0.168,0.977,0.116,0.346,-0.088,-0.025,-1.695
-0.424,0.168,0.988,0.163,0.346,-0.123,-0.027,-2.970
-0.394,0.168,1.005,0.211,0.329,-0.163,-0.072,-4.433
-0.364,0.168,1.030,0.265,0.294,-0.218,0.128,-6.172
-0.333,0.168,1.060,0.307,0.235,-0.276,-0.070,-8.219
-0.303,0.168,1.088,0.326,0.159,-0.316,0.059,-9.287
-0.273,0.168,1.102,0.316,0.078,-0.322,-0.046,-9.907
-0.242,0.168,1.104,0.286,0.008,-0.303,0.193,-9.161
-0.212,0.168,1.088,0.218,-0.042,-0.235,-0.089,-6.629
-0.182,0.168,1.074,0.157,-0.060,-0.183,0.038,-4.468
-0.152,0.168,1.062,0.107,-0.060,-0.144,-0.003,-2.633
-0.121,0.168,1.055,0.070,-0.049,-0.121,0.002,-1.455
-0.091,0.168,1.050,0.045,-0.041,-0.108,-0.018,-0.884
-0.061,0.168,1.048,0.025,-0.033,-0.101,-0.013,-0.433
-0.030,0.168,1.047,0.010,-0.026,-0.097,-0.034,-0.230
0.000,0.168,1.046,0.000,-0.024,-0.096,0.000,-0.172
0.030,0.168,1.047,-0.010,-0.026,-0.097,0.034,-0.231
0.061,0.168,1.048,-0.024,-0.033,-0.101,0.013,-0.435
0.091,0.168,1.050,-0.045,-0.041,-0.108,0.018,-0.889
0.121,0.168,1.055,-0.070,-0.050,-0.120,-0.002,-1.466
0.152,0.168,1.062,-0.107,-0.060,-0.144,0.003,-2.657
0.182,0.168,1.074,-0.158,-0.061,-0.182,-0.039,-4.523
0.212,0.168,1.088,-0.219,-0.042,-0.235,0.089,-6.712
0.242,0.168,1.104,-0.287,0.009,-0.303,-0.191,-9.248
0.273,0.168,1.102,-0.317,0.079,-0.322,0.047,-9.938
0.303,0.168,1.087,-0.326,0.161,-0.315,-0.058,-9.239
0.333,0.168,1.060,-0.306,0.236,-0.275,0.070,-8.101
0.364,0.168,1.030,-0.263,0.295,-0.218,-0.127,-6.050
0.394,0.168,1.005,-0.211,0.328,-0.163,0.071,-4.339
0.424,0.168,0.988,-0.163,0.345,-0.123,0.027,-2.916
0.455,0.168,0.977,-0.116,0.345,-0.088,0.025,-1.676
0.485,0.168,0.973,-0.082,0.336,-0.065,-0.054,-1.018
-0.485,0.189,0.975,0.079,0.318,-0.059,0.005,-0.658
-0.455,0.189,0.982,0.118,0.325,-0.083,0.003,-1.326
-0.424,0.189,0.991,0.157,0.320,-0.111,-0.037,-2.046
-0.394,0.189,1.007,0.199,0.301,-0.145,-0.059,-3.062
-0.364,0.189,1.028,0.241,0.270,-0.188,0.049,-4.083
-0.333,0.189,1.050,0.271,0.221,-0.225,-0.057,-5.324
-0.303,0.189,1.070,0.284,0.161,-0.253,0.038,-5.968
-0.273,0.189,1.082,0.275,0.095,-0.256,-0.061,-6.119
-0.242,0.189,1.082,0.240,0.036,-0.231,0.103,-5.123
-0.212,0.189,1.075,0.197,-0.002,-0.197,0.022,-4.277
-0.182,0.189,1.066,0.150,-0.023,-0.162,-0.014,-2.949
-0.152,0.189,1.058,0.109,-0.029,-0.134,0.013,-1.951
-0.121,0.189,1.052,0.076,-0.027,-0.115,0.024,-1.259
-0.091,0.189,1.048,0.047,-0.022,-0.102,-0.034,-0.686
-0.061,0.189,1.046,0.027,-0.018,-0.096,-0.011,-0.462
-0.030,0.189,1.045,0.013,-0.015,-0.093,-0.048,-0.296
0.000,0.189,1.045,0.000,-0.014,-0.092,0.000,-0.274
0.030,0.189,1.045,-0.013,-0.015,-0.093,0.048,-0.297
0.061,0.189,1.046,-0.027,-0.018,-0.096,0.011,-0.464
0.091,0.189,1.048,-0.047,-0.022,-0.102,0.034,-0.689
0.121,0.189,1.052,-0.076,-0.027,-0.115,-0.024,-1.266
0.152,0.189,1.058,-0.109,-0.029,-0.134,-0.012,-1.966
0.182,0.189,1.066,-0.151,-0.023,-0.162,0.014,-2.975
0.212,0.189,1.075,-0.198,-0.002,-0.197,-0.022,-4.314
0.242,0.189,1.082,-0.241,0.037,-0.231,-0.103,-5.154
0.273,0.189,1.082,-0.275,0.096,-0.256,0.061,-6.130
0.303,0.189,1.070,-0.284,0.162,-0.253,-0.039,-5.941
0.333,0.189,1.050,-0.270,0.222,-0.225,0.056,-5.265
0.364,0.189,1.028,-0.240,0.271,-0.187,-0.049,-4.021
0.394,0.189,1.007,-0.198,0.301,-0.145,0.058,-3.011
0.424,0.189,0.992,-0.157,0.320,-0.111,0.036,-2.016
0.455,0.189,0.982,-0.118,0.325,-0.084,-0.003,-1.312
0.485,0.189,0.977,-0.088,0.320,-0.064,-0.034,-0.767
-0.485,0.210,0.979,0.084,0.303,-0.058,0.009,-0.525
-0.455,0.210,0.986,0.116,0.303,-0.077,0.000,-0.899
-0.424,0.210,0.995,0.148,0.295,-0.098,-0.029,-1.415
-0.394,0.210,1.008,0.182,0.276,-0.125,-0.047,-1.982
-0.364,0.210,1.022,0.208,0.248,-0.151,0.079,-2.506
-0.333,0.210,1.039,0.230,0.207,-0.176,0.011,-3.184
-0.303,0.210,1.054,0.238,0.158,-0.193,0.010,-3.517
-0.273,0.210,1.063,0.230,0.107,-0.195,0.017,-3.564
-0.242,0.210,1.066,0.207,0.064,-0.184,0.049,-3.129
-0.212,0.210,1.063,0.175,0.031,-0.163,-0.017,-2.634
-0.182,0.210,1.058,0.140,0.010,-0.141,-0.033,-1.997
-0.152,0.210,1.053,0.106,0.000,-0.121,-0.001,-1.444
