# plane x_cr = 0.60 | grid 33 x 13, spacing 0.0219 x 0.0158 c_r | 405 of 429 nodes | y [-0.35,0.35] z [-0.03,0.16], bin-averaged from 19982 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
-0.148,0.021,0.934,-0.850,-0.481,-0.967,-18.635,-386.433
-0.127,0.021,0.992,-0.491,-0.368,-0.370,-1.185,-336.625
-0.106,0.021,1.044,-0.287,-0.174,-0.199,1.932,-89.530
-0.085,0.021,1.068,-0.169,-0.085,-0.176,0.744,-20.694
-0.064,0.021,1.080,-0.101,-0.048,-0.177,0.392,-6.380
-0.042,0.021,1.085,-0.062,-0.031,-0.180,0.366,-2.626
-0.021,0.021,1.088,-0.034,-0.018,-0.183,0.688,-1.546
0.000,0.021,1.089,0.000,-0.006,-0.183,-0.001,-2.302
0.021,0.021,1.088,0.034,-0.018,-0.182,-0.695,-1.493
0.042,0.021,1.085,0.062,-0.031,-0.180,-0.369,-2.670
0.064,0.021,1.079,0.101,-0.048,-0.177,-0.371,-6.433
0.085,0.021,1.068,0.170,-0.086,-0.176,-0.750,-21.009
0.106,0.021,1.043,0.288,-0.175,-0.198,-1.925,-91.316
0.127,0.021,0.991,0.494,-0.370,-0.372,1.474,-338.812
0.148,0.021,0.933,0.850,-0.479,-0.962,18.582,-389.595
0.170,0.021,0.959,1.269,-0.278,-2.002,38.747,275.891
0.191,0.021,0.919,1.364,0.322,-2.256,41.543,555.264
0.212,0.021,0.864,1.077,0.662,-1.459,12.211,-127.939
0.233,0.021,0.878,0.775,0.260,-1.175,-67.904,1059.453
0.255,0.021,0.912,0.439,-0.028,-0.869,54.646,250.775
0.276,0.021,0.936,0.028,0.773,-0.514,11.148,5.816
0.297,0.021,0.925,0.062,0.605,-0.227,-0.013,-52.080
0.318,0.021,0.928,0.058,0.516,-0.132,0.071,-18.837
0.339,0.021,0.933,0.052,0.458,-0.084,0.009,-8.771
-0.339,0.036,0.952,-0.014,0.430,-0.093,-0.008,-5.128
-0.318,0.036,0.953,-0.002,0.514,-0.173,-0.073,-14.503
-0.297,0.036,0.960,0.020,0.584,-0.264,-0.051,-30.121
-0.276,0.036,0.983,0.090,0.690,-0.451,0.089,-67.556
-0.255,0.036,0.942,0.019,0.497,-0.652,-60.292,42.560
-0.233,0.036,1.020,-0.598,0.384,-0.738,-14.243,-1388.669
-0.212,0.036,1.117,-0.664,0.782,-1.676,-39.300,-141.351
-0.191,0.036,1.338,-0.817,0.415,-3.126,-103.346,3060.399
-0.170,0.036,1.353,-0.723,-0.487,-2.651,-82.240,1730.830
-0.148,0.036,1.132,-0.459,-0.682,-1.193,-30.133,-164.825
-0.127,0.036,1.053,-0.285,-0.513,-0.468,-3.315,-291.235
-0.106,0.036,1.067,-0.202,-0.255,-0.242,1.580,-83.399
-0.085,0.036,1.077,-0.131,-0.131,-0.196,0.210,-20.252
-0.064,0.036,1.083,-0.081,-0.076,-0.186,0.006,-6.267
-0.042,0.036,1.086,-0.053,-0.049,-0.185,0.046,-2.798
