# plane y_D = 0 | grid 33 x 13, spacing 0.25 D | 419 of 429 nodes | fields %.3f | nondimensional
x_D,z_D,u_U,v_U,w_U,cp
2.250,-0.750,0.765,0.002,0.065,-0.040
2.500,-0.750,0.778,0.002,0.060,-0.013
2.750,-0.750,0.790,0.002,0.053,0.005
3.000,-0.750,0.801,0.001,0.045,0.016
3.250,-0.750,0.811,0.001,0.037,0.021
3.500,-0.750,0.820,0.001,0.031,0.023
3.750,-0.750,0.827,0.001,0.025,0.023
4.000,-0.750,0.834,0.001,0.020,0.022
4.250,-0.750,0.839,0.000,0.016,0.020
4.500,-0.750,0.844,0.000,0.013,0.017
4.750,-0.750,0.848,0.000,0.011,0.015
5.000,-0.750,0.851,0.000,0.009,0.013
5.250,-0.750,0.854,0.000,0.007,0.011
5.500,-0.750,0.857,0.000,0.006,0.009
5.750,-0.750,0.859,0.000,0.005,0.007
6.000,-0.750,0.862,0.000,0.005,0.006
-2.000,-0.500,0.976,-0.005,-0.015,0.067
-1.750,-0.500,0.957,-0.004,-0.022,0.104
-1.500,-0.500,0.938,-0.007,-0.037,0.142
-1.250,-0.500,0.893,-0.008,-0.068,0.223
-1.000,-0.500,0.820,-0.008,-0.135,0.333
-0.750,-0.500,0.729,-0.013,-0.291,0.404
-0.500,-0.500,0.847,-0.006,-0.962,-0.859
-0.250,-0.500,-0.004,-0.001,0.064,-0.627
0.000,-0.500,0.019,-0.001,0.024,-0.335
0.250,-0.500,0.037,0.000,0.002,-0.250
0.500,-0.500,0.018,-0.001,-0.024,-0.203
0.750,-0.500,0.068,-0.003,-0.083,-0.198
1.000,-0.500,0.106,-0.002,-0.035,-0.217
1.250,-0.500,0.113,0.001,0.002,-0.208
1.500,-0.500,0.137,0.003,0.028,-0.175
1.750,-0.500,0.179,0.004,0.044,-0.127
2.000,-0.500,0.232,0.005,0.053,-0.078
2.250,-0.500,0.290,0.005,0.054,-0.036
2.500,-0.500,0.346,0.005,0.050,-0.005
2.750,-0.500,0.397,0.004,0.044,0.015
3.000,-0.500,0.443,0.004,0.037,0.026
3.250,-0.500,0.482,0.003,0.031,0.031
3.500,-0.500,0.516,0.003,0.025,0.032
3.750,-0.500,0.545,0.003,0.020,0.031
4.000,-0.500,0.569,0.002,0.016,0.028
4.250,-0.500,0.591,0.002,0.013,0.025
4.500,-0.500,0.609,0.002,0.011,0.022
4.750,-0.500,0.625,0.002,0.009,0.019
5.000,-0.500,0.640,0.002,0.007,0.016
5.250,-0.500,0.652,0.002,0.006,0.014
5.500,-0.500,0.664,0.001,0.006,0.011
5.750,-0.500,0.674,0.001,0.005,0.009
6.000,-0.500,0.683,0.001,0.005,0.007
-2.000,-0.250,0.969,-0.006,-0.006,0.082
-1.750,-0.250,0.948,-0.005,-0.015,0.121
-1.500,-0.250,0.921,-0.009,-0.027,0.173
-1.250,-0.250,0.856,-0.009,-0.046,0.288
-1.000,-0.250,0.735,-0.010,-0.092,0.475
-0.750,-0.250,0.513,-0.019,-0.195,0.714
-0.500,-0.250,0.029,-0.008,-0.201,0.933
0.500,-0.250,-0.004,0.003,-0.058,-0.157
0.750,-0.250,-0.117,-0.005,-0.086,-0.181
1.000,-0.250,-0.188,-0.004,-0.031,-0.210
1.250,-0.250,-0.209,0.000,-0.000,-0.205
1.500,-0.250,-0.190,0.003,0.017,-0.172
1.750,-0.250,-0.145,0.004,0.028,-0.125
2.000,-0.250,-0.083,0.006,0.033,-0.076
2.250,-0.250,-0.012,0.006,0.034,-0.032
2.500,-0.250,0.059,0.006,0.033,0.000
2.750,-0.250,0.127,0.006,0.029,0.021
3.000,-0.250,0.188,0.006,0.026,0.033
3.250,-0.250,0.241,0.005,0.022,0.037
3.500,-0.250,0.288,0.004,0.019,0.038
3.750,-0.250,0.328,0.004,0.016,0.036
4.000,-0.250,0.363,0.004,0.013,0.033
4.250,-0.250,0.394,0.003,0.011,0.029
4.500,-0.250,0.420,0.003,0.010,0.025
4.750,-0.250,0.443,0.003,0.009,0.021
5.000,-0.250,0.464,0.002,0.008,0.018
5.250,-0.250,0.482,0.002,0.007,0.015
5.500,-0.250,0.499,0.002,0.006,0.013
5.750,-0.250,0.514,0.002,0.006,0.010
6.000,-0.250,0.528,0.002,0.006,0.008
-2.000,0.000,0.969,-0.006,-0.006,0.082
-1.750,0.000,0.944,-0.005,-0.005,0.129
-1.500,0.000,0.912,-0.009,-0.009,0.191
-1.250,0.000,0.837,-0.010,-0.010,0.322
-1.000,0.000,0.697,-0.011,-0.011,0.538
-0.750,0.000,0.443,-0.022,-0.022,0.821
-0.500,0.000,0.016,0.009,-0.009,1.025
0.500,0.000,-0.010,0.005,0.005,-0.125
0.750,0.000,-0.193,-0.006,-0.006,-0.157
1.000,0.000,-0.302,-0.004,-0.004,-0.197
1.250,0.000,-0.333,-0.000,-0.000,-0.198
1.500,0.000,-0.316,0.002,0.002,-0.168
1.750,0.000,-0.270,0.003,0.003,-0.122
2.000,0.000,-0.207,0.004,0.004,-0.074
2.250,0.000,-0.134,0.004,0.005,-0.031
2.500,0.000,-0.060,0.004,0.004,0.002
2.750,0.000,0.010,0.004,0.004,0.023
3.000,0.000,0.075,0.004,0.004,0.034
3.250,0.000,0.132,0.003,0.003,0.039
3.500,0.000,0.182,0.003,0.003,0.039
3.750,0.000,0.226,0.002,0.002,0.037
4.000,0.000,0.263,0.002,0.002,0.034
4.250,0.000,0.296,0.002,0.002,0.030
4.500,0.000,0.326,0.002,0.002,0.026
4.750,0.000,0.351,0.001,0.001,0.022
5.000,0.000,0.374,0.001,0.001,0.019
5.250,0.000,0.395,0.001,0.001,0.016
5.500,0.000,0.414,0.001,0.001,0.013
5.750,0.000,0.431,0.001,0.001,0.010
6.000,0.000,0.448,0.001,0.001,0.008
-2.000,0.250,0.969,-0.006,0.006,0.082
-1.750,0.250,0.944,-0.005,0.005,0.129
-1.500,0.250,0.912,-0.009,0.009,0.191
-1.250,0.250,0.843,-0.010,0.029,0.311
-1.000,0.250,0.719,-0.011,0.074,0.500
-0.750,0.250,0.483,-0.020,0.152,0.759
0.500,0.250,-0.004,-0.003,0.058,-0.157
0.750,0.250,-0.134,-0.006,0.078,-0.177
1.000,0.250,-0.233,-0.004,0.026,-0.206
1.250,0.250,-0.257,-0.000,0.000,-0.203
1.500,0.250,-0.239,0.002,-0.014,-0.171
1.750,0.250,-0.193,0.004,-0.023,-0.124
2.000,0.250,-0.130,0.005,-0.027,-0.075
2.250,0.250,-0.058,0.006,-0.029,-0.032
2.500,0.250,0.015,0.006,-0.027,0.001
2.750,0.250,0.083,0.006,-0.025,0.022
3.000,0.250,0.146,0.005,-0.022,0.033
3.250,0.250,0.201,0.005,-0.019,0.038
3.500,0.250,0.249,0.004,-0.016,0.039
3.750,0.250,0.291,0.004,-0.014,0.036
4.000,0.250,0.327,0.003,-0.012,0.033
4.250,0.250,0.358,0.003,-0.010,0.029
4.500,0.250,0.385,0.003,-0.009,0.025
4.750,0.250,0.410,0.002,-0.008,0.022
5.000,0.250,0.431,0.002,-0.007,0.019
5.250,0.250,0.450,0.002,-0.007,0.015
5.500,0.250,0.468,0.002,-0.006,0.013
5.750,0.250,0.484,0.002,-0.006,0.010
6.000,0.250,0.498,0.001,-0.005,0.008
-2.000,0.500,0.969,-0.006,0.006,0.082
-1.750,0.500,0.948,-0.005,0.015,0.121
-1.500,0.500,0.921,-0.009,0.027,0.173
-1.250,0.500,0.871,-0.009,0.059,0.258
-1.000,0.500,0.795,-0.009,0.129,0.372
-0.750,0.500,0.666,-0.015,0.286,0.492
-0.500,0.500,0.847,-0.006,0.962,-0.859
-0.250,0.500,-0.004,0.001,-0.064,-0.627
0.000,0.500,0.013,-0.001,-0.029,-0.353
0.250,0.500,0.037,-0.000,-0.002,-0.250
0.500,0.500,0.018,-0.001,0.024,-0.203
0.750,0.500,0.039,-0.003,0.091,-0.198
1.000,0.500,0.014,-0.002,0.037,-0.218
1.250,0.500,0.012,0.001,-0.001,-0.209
1.500,0.500,0.033,0.003,-0.025,-0.175
1.750,0.500,0.075,0.004,-0.040,-0.128
2.000,0.500,0.131,0.005,-0.048,-0.078
2.250,0.500,0.194,0.005,-0.049,-0.035
2.500,0.500,0.255,0.005,-0.046,-0.003
2.750,0.500,0.313,0.005,-0.041,0.017
