# plane x_D = 2 | grid 13 x 13, spacing 0.25 D | 169 of 169 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp
1.500,0.500,1.032,-0.023,-0.006,-0.047
-1.500,0.750,1.030,0.018,-0.007,-0.043
-1.250,0.750,1.033,0.026,-0.012,-0.049
-1.000,0.750,1.036,0.037,-0.022,-0.055
-0.750,0.750,1.024,0.050,-0.044,-0.061
-0.500,0.750,0.941,0.049,-0.074,-0.068
-0.250,0.750,0.750,0.026,-0.074,-0.074
0.000,0.750,0.620,0.003,-0.064,-0.077
0.250,0.750,0.702,-0.020,-0.071,-0.075
0.500,0.750,0.901,-0.045,-0.077,-0.070
0.750,0.750,1.013,-0.052,-0.052,-0.063
1.000,0.750,1.036,-0.040,-0.026,-0.057
1.250,0.750,1.034,-0.028,-0.014,-0.050
1.500,0.750,1.031,-0.020,-0.008,-0.044
-1.500,1.000,1.028,0.014,-0.008,-0.040
-1.250,1.000,1.031,0.019,-0.013,-0.045
-1.000,1.000,1.034,0.024,-0.022,-0.050
-0.750,1.000,1.036,0.026,-0.036,-0.055
-0.500,1.000,1.031,0.020,-0.051,-0.061
-0.250,1.000,1.011,0.008,-0.056,-0.066
0.000,1.000,0.995,0.001,-0.054,-0.068
0.250,1.000,1.005,-0.006,-0.055,-0.067
0.500,1.000,1.027,-0.017,-0.053,-0.062
0.750,1.000,1.036,-0.026,-0.040,-0.057
1.000,1.000,1.034,-0.025,-0.025,-0.051
1.250,1.000,1.032,-0.020,-0.015,-0.046
1.500,1.000,1.029,-0.015,-0.009,-0.041
-1.500,1.250,1.027,0.011,-0.008,-0.036
-1.250,1.250,1.029,0.013,-0.012,-0.041
-1.000,1.250,1.031,0.015,-0.018,-0.045
-0.750,1.250,1.034,0.015,-0.026,-0.049
-0.500,1.250,1.036,0.011,-0.033,-0.053
-0.250,1.250,1.037,0.005,-0.037,-0.057
0.000,1.250,1.037,0.001,-0.037,-0.058
0.250,1.250,1.037,-0.004,-0.037,-0.057
0.500,1.250,1.036,-0.009,-0.034,-0.054
0.750,1.250,1.034,-0.014,-0.028,-0.050
1.000,1.250,1.032,-0.015,-0.020,-0.046
1.250,1.250,1.030,-0.014,-0.014,-0.042
1.500,1.250,1.027,-0.011,-0.009,-0.037
-1.500,1.500,1.025,0.007,-0.007,-0.033
-1.250,1.500,1.027,0.009,-0.010,-0.037
-1.000,1.500,1.029,0.009,-0.014,-0.040
-0.750,1.500,1.031,0.009,-0.019,-0.043
-0.500,1.500,1.032,0.006,-0.023,-0.046
-0.250,1.500,1.033,0.003,-0.025,-0.049
0.000,1.500,1.034,0.000,-0.026,-0.050
0.250,1.500,1.034,-0.003,-0.025,-0.049
0.500,1.500,1.032,-0.006,-0.023,-0.047
0.750,1.500,1.031,-0.008,-0.020,-0.044
1.000,1.500,1.029,-0.009,-0.015,-0.041
1.250,1.500,1.027,-0.009,-0.011,-0.037
1.500,1.500,1.025,-0.008,-0.008,-0.034
