# plane x_D = 5 | grid 25 x 25, spacing 0.25 D | 625 of 625 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp,jet_tracer
-1.250,1.000,1.101,0.170,0.053,0.058,0.000
-1.000,1.000,1.075,0.185,0.072,0.072,0.001
-0.750,1.000,1.033,0.189,0.090,0.091,0.002
-0.500,1.000,0.961,0.170,0.093,0.116,0.004
-0.250,1.000,0.852,0.106,0.057,0.144,0.008
0.000,1.000,0.764,-0.002,0.008,0.160,0.012
0.250,1.000,0.858,-0.109,0.057,0.144,0.008
0.500,1.000,0.965,-0.171,0.092,0.115,0.004
0.750,1.000,1.035,-0.190,0.089,0.091,0.002
1.000,1.000,1.076,-0.185,0.071,0.072,0.001
1.250,1.000,1.101,-0.170,0.053,0.058,0.000
1.500,1.000,1.116,-0.152,0.037,0.047,0.000
1.750,1.000,1.125,-0.133,0.025,0.040,0.000
2.000,1.000,1.130,-0.116,0.016,0.035,0.000
2.250,1.000,1.134,-0.100,0.010,0.032,0.000
2.500,1.000,1.134,-0.086,0.007,0.030,0.000
2.750,1.000,1.128,-0.072,0.005,0.029,0.000
3.000,1.000,1.108,-0.059,0.004,0.028,0.000
-3.000,1.250,1.142,0.061,-0.004,0.026,0.000
-2.750,1.250,1.145,0.072,-0.004,0.026,0.000
-2.500,1.250,1.148,0.087,-0.003,0.026,0.000
-2.250,1.250,1.147,0.103,-0.002,0.027,0.000
-2.000,1.250,1.144,0.121,0.002,0.029,0.000
-1.750,1.250,1.140,0.142,0.009,0.033,0.000
-1.500,1.250,1.134,0.165,0.021,0.040,0.000
-1.250,1.250,1.125,0.188,0.038,0.051,0.000
-1.000,1.250,1.112,0.208,0.063,0.068,0.002
-0.750,1.250,1.093,0.216,0.097,0.092,0.005
-0.500,1.250,1.055,0.197,0.135,0.126,0.010
-0.250,1.250,0.957,0.127,0.148,0.166,0.015
0.000,1.250,0.840,-0.001,0.124,0.187,0.018
0.250,1.250,0.960,-0.128,0.147,0.166,0.016
0.500,1.250,1.056,-0.197,0.134,0.126,0.010
0.750,1.250,1.093,-0.215,0.096,0.092,0.005
1.000,1.250,1.113,-0.207,0.062,0.067,0.002
1.250,1.250,1.125,-0.187,0.037,0.051,0.000
1.500,1.250,1.134,-0.164,0.020,0.040,0.000
1.750,1.250,1.140,-0.141,0.009,0.033,0.000
2.000,1.250,1.144,-0.121,0.002,0.029,0.000
2.250,1.250,1.147,-0.102,-0.002,0.026,0.000
2.500,1.250,1.148,-0.086,-0.003,0.026,0.000
2.750,1.250,1.145,-0.072,-0.004,0.025,0.000
3.000,1.250,1.142,-0.061,-0.004,0.026,0.000
-3.000,1.500,1.138,0.056,-0.013,0.023,0.000
-2.750,1.500,1.141,0.070,-0.015,0.022,0.000
-2.500,1.500,1.141,0.086,-0.017,0.020,0.000
-2.250,1.500,1.140,0.104,-0.017,0.020,0.000
-2.000,1.500,1.138,0.125,-0.016,0.020,0.000
-1.750,1.500,1.134,0.149,-0.012,0.022,0.000
