# plane x_D = 5 | grid 25 x 25, spacing 0.25 D | 625 of 625 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp,jet_tracer
-2.750,4.500,1.093,-0.041,-0.045,0.035,0.000
-2.500,4.500,1.095,-0.053,-0.050,0.030,0.000
-2.250,4.500,1.098,-0.068,-0.054,0.024,0.000
-2.000,4.500,1.100,-0.088,-0.057,0.018,0.000
-1.750,4.500,1.102,-0.114,-0.057,0.010,0.000
-1.500,4.500,1.107,-0.150,-0.050,0.002,0.003
-1.250,4.500,1.143,-0.194,-0.016,-0.008,0.027
-1.000,4.500,1.248,-0.226,0.082,-0.015,0.134
-0.750,4.500,1.281,-0.231,0.189,-0.014,0.278
-0.500,4.500,1.089,-0.216,0.238,0.007,0.320
-0.250,4.500,0.827,-0.141,0.284,0.043,0.293
0.000,4.500,0.730,0.000,0.319,0.063,0.275
0.250,4.500,0.831,0.141,0.283,0.043,0.293
0.500,4.500,1.095,0.215,0.238,0.006,0.320
0.750,4.500,1.282,0.230,0.188,-0.014,0.276
1.000,4.500,1.246,0.225,0.080,-0.015,0.130
1.250,4.500,1.141,0.193,-0.018,-0.008,0.026
1.500,4.500,1.107,0.149,-0.050,0.002,0.002
1.750,4.500,1.102,0.114,-0.057,0.010,0.000
2.000,4.500,1.100,0.087,-0.057,0.018,0.000
2.250,4.500,1.098,0.068,-0.054,0.024,0.000
2.500,4.500,1.095,0.053,-0.050,0.030,0.000
2.750,4.500,1.093,0.040,-0.045,0.035,0.000
3.000,4.500,1.091,0.031,-0.041,0.039,0.000
-3.000,4.750,1.087,-0.036,-0.035,0.044,-0.000
-2.750,4.750,1.088,-0.044,-0.037,0.042,0.000
-2.500,4.750,1.090,-0.056,-0.038,0.039,0.000
-2.250,4.750,1.092,-0.070,-0.039,0.036,0.000
-2.000,4.750,1.093,-0.087,-0.037,0.033,0.000
-1.750,4.750,1.093,-0.109,-0.032,0.031,0.000
-1.500,4.750,1.093,-0.137,-0.019,0.029,0.000
-1.250,4.750,1.097,-0.168,0.008,0.029,0.005
-1.000,4.750,1.135,-0.196,0.068,0.034,0.036
-0.750,4.750,1.223,-0.199,0.174,0.045,0.126
-0.500,4.750,1.267,-0.164,0.274,0.060,0.233
-0.250,4.750,1.231,-0.097,0.334,0.079,0.286
0.000,4.750,1.199,0.001,0.354,0.088,0.296
0.250,4.750,1.233,0.098,0.333,0.078,0.285
0.500,4.750,1.267,0.165,0.273,0.060,0.232
0.750,4.750,1.221,0.199,0.171,0.044,0.124
1.000,4.750,1.134,0.196,0.066,0.033,0.035
1.250,4.750,1.097,0.168,0.007,0.029,0.005
1.500,4.750,1.093,0.136,-0.019,0.029,0.000
1.750,4.750,1.093,0.109,-0.032,0.030,0.000
2.000,4.750,1.093,0.087,-0.037,0.033,0.000
2.250,4.750,1.092,0.069,-0.039,0.036,0.000
2.500,4.750,1.090,0.055,-0.038,0.039,0.000
2.750,4.750,1.088,0.043,-0.037,0.042,0.000
3.000,4.750,1.087,0.036,-0.035,0.044,-0.000
-3.000,5.000,1.083,-0.035,-0.029,0.050,-0.000
-2.750,5.000,1.084,-0.045,-0.029,0.049,-0.000
-2.500,5.000,1.085,-0.056,-0.028,0.048,0.000
-2.250,5.000,1.086,-0.068,-0.026,0.047,0.000
-2.000,5.000,1.086,-0.082,-0.021,0.046,0.000
-1.750,5.000,1.085,-0.099,-0.012,0.047,0.000
-1.500,5.000,1.083,-0.118,0.003,0.049,0.000
-1.250,5.000,1.080,-0.138,0.027,0.054,0.001
-1.000,5.000,1.081,-0.153,0.066,0.063,0.005
-0.750,5.000,1.100,-0.154,0.126,0.076,0.023
-0.500,5.000,1.146,-0.128,0.202,0.092,0.064
-0.250,5.000,1.189,-0.072,0.264,0.106,0.112
0.000,5.000,1.202,0.001,0.288,0.112,0.132
0.250,5.000,1.188,0.074,0.263,0.106,0.112
0.500,5.000,1.145,0.129,0.200,0.091,0.063
0.750,5.000,1.099,0.154,0.124,0.076,0.022
1.000,5.000,1.081,0.153,0.065,0.063,0.004
1.250,5.000,1.080,0.137,0.027,0.054,0.001
1.500,5.000,1.084,0.118,0.002,0.049,0.000
1.750,5.000,1.085,0.099,-0.013,0.047,0.000
2.000,5.000,1.086,0.082,-0.022,0.046,0.000
2.250,5.000,1.086,0.068,-0.026,0.047,0.000
2.500,5.000,1.085,0.055,-0.028,0.048,0.000
2.750,5.000,1.084,0.044,-0.029,0.049,-0.000
3.000,5.000,1.083,0.035,-0.029,0.050,-0.000
-3.000,5.250,1.080,-0.037,-0.023,0.056,-0.000
-2.750,5.250,1.080,-0.044,-0.022,0.055,-0.000
-2.500,5.250,1.081,-0.054,-0.020,0.055,0.000
-2.250,5.250,1.081,-0.064,-0.016,0.056,0.000
-2.000,5.250,1.080,-0.075,-0.010,0.057,0.000
-1.750,5.250,1.079,-0.088,0.001,0.059,0.000
-1.500,5.250,1.077,-0.100,0.016,0.063,0.000
-1.250,5.250,1.073,-0.110,0.037,0.070,0.000
-1.000,5.250,1.068,-0.115,0.066,0.079,0.000
-0.750,5.250,1.064,-0.110,0.102,0.090,0.002
-0.500,5.250,1.064,-0.090,0.142,0.103,0.006
-0.250,5.250,1.070,-0.051,0.175,0.113,0.012
0.000,5.250,1.074,0.001,0.188,0.117,0.016
0.250,5.250,1.070,0.052,0.174,0.113,0.012
0.500,5.250,1.064,0.090,0.141,0.103,0.006
0.750,5.250,1.064,0.111,0.101,0.090,0.002
1.000,5.250,1.068,0.115,0.066,0.078,0.000
1.250,5.250,1.073,0.110,0.037,0.069,0.000
1.500,5.250,1.077,0.100,0.015,0.063,0.000
1.750,5.250,1.079,0.087,0.000,0.059,0.000
2.000,5.250,1.080,0.075,-0.010,0.057,0.000
2.250,5.250,1.081,0.064,-0.016,0.055,0.000
2.500,5.250,1.081,0.053,-0.020,0.055,0.000
2.750,5.250,1.080,0.044,-0.022,0.055,-0.000
3.000,5.250,1.080,0.037,-0.023,0.056,-0.000
-3.000,5.500,1.077,-0.035,-0.018,0.061,-0.000
-2.750,5.500,1.077,-0.042,-0.016,0.061,-0.000
-2.500,5.500,1.077,-0.050,-0.013,0.062,-0.000
-2.250,5.500,1.076,-0.059,-0.008,0.063,0.000
-2.000,5.500,1.076,-0.067,-0.001,0.065,0.000
-1.750,5.500,1.074,-0.076,0.009,0.068,0.000
-1.500,5.500,1.072,-0.083,0.022,0.073,0.000
-1.250,5.500,1.069,-0.088,0.040,0.079,0.000
-1.000,5.500,1.065,-0.087,0.062,0.087,0.000
-0.750,5.500,1.060,-0.079,0.087,0.096,0.000
-0.500,5.500,1.055,-0.062,0.111,0.105,0.000
-0.250,5.500,1.052,-0.034,0.128,0.112,0.001
0.000,5.500,1.051,0.000,0.135,0.114,0.001
0.250,5.500,1.052,0.035,0.128,0.112,0.000
0.500,5.500,1.056,0.062,0.110,0.105,0.000
0.750,5.500,1.060,0.080,0.086,0.096,0.000
1.000,5.500,1.065,0.087,0.062,0.087,0.000
1.250,5.500,1.069,0.088,0.040,0.079,0.000
1.500,5.500,1.072,0.083,0.022,0.073,0.000
1.750,5.500,1.074,0.075,0.008,0.068,0.000
2.000,5.500,1.076,0.067,-0.001,0.065,0.000
2.250,5.500,1.076,0.058,-0.008,0.063,0.000
2.500,5.500,1.077,0.050,-0.013,0.062,-0.000
2.750,5.500,1.077,0.042,-0.016,0.061,-0.000
3.000,5.500,1.077,0.035,-0.018,0.061,-0.000
-3.000,5.750,1.074,-0.035,-0.013,0.065,0.000
-2.750,5.750,1.074,-0.040,-0.011,0.066,0.000
-2.500,5.750,1.073,-0.047,-0.008,0.067,-0.000
-2.250,5.750,1.073,-0.053,-0.003,0.069,-0.000
-2.000,5.750,1.072,-0.059,0.004,0.071,0.000
-1.750,5.750,1.070,-0.065,0.013,0.075,0.000
-1.500,5.750,1.068,-0.069,0.025,0.079,0.000
-1.250,5.750,1.066,-0.070,0.039,0.085,0.000
-1.000,5.750,1.063,-0.067,0.056,0.092,0.000
-0.750,5.750,1.059,-0.059,0.073,0.098,0.000
-0.500,5.750,1.056,-0.044,0.089,0.105,0.000
-0.250,5.750,1.054,-0.024,0.100,0.109,0.000
0.000,5.750,1.053,0.000,0.104,0.111,0.000
0.250,5.750,1.054,0.024,0.099,0.109,0.000
0.500,5.750,1.056,0.045,0.088,0.104,0.000
0.750,5.750,1.059,0.059,0.073,0.098,0.000
1.000,5.750,1.063,0.067,0.055,0.091,0.000
1.250,5.750,1.066,0.070,0.039,0.085,0.000
1.500,5.750,1.069,0.069,0.025,0.079,0.000
1.750,5.750,1.071,0.064,0.013,0.075,0.000
2.000,5.750,1.072,0.059,0.004,0.071,0.000
2.250,5.750,1.073,0.053,-0.003,0.069,-0.000
2.500,5.750,1.073,0.046,-0.008,0.067,-0.000
2.750,5.750,1.074,0.040,-0.011,0.066,0.000
3.000,5.750,1.074,0.035,-0.013,0.065,0.000
-3.000,6.000,1.071,-0.032,-0.010,0.069,-0.000
-2.750,6.000,1.071,-0.037,-0.008,0.070,0.000
-2.500,6.000,1.071,-0.043,-0.004,0.072,-0.000
-2.250,6.000,1.070,-0.047,0.001,0.074,-0.000
-2.000,6.000,1.069,-0.052,0.007,0.076,0.000
-1.750,6.000,1.068,-0.055,0.015,0.080,0.000
-1.500,6.000,1.066,-0.057,0.025,0.084,0.000
-1.250,6.000,1.064,-0.056,0.036,0.089,0.000
-1.000,6.000,1.061,-0.053,0.048,0.094,0.000
-0.750,6.000,1.059,-0.045,0.061,0.099,0.000
-0.500,6.000,1.057,-0.033,0.071,0.103,0.000
-0.250,6.000,1.055,-0.017,0.079,0.107,0.000
0.000,6.000,1.055,0.000,0.081,0.108,0.000
0.250,6.000,1.055,0.018,0.078,0.106,0.000
0.500,6.000,1.057,0.033,0.071,0.103,0.000
0.750,6.000,1.059,0.045,0.060,0.099,0.000
1.000,6.000,1.061,0.053,0.048,0.094,0.000
1.250,6.000,1.064,0.057,0.036,0.088,0.000
1.500,6.000,1.066,0.057,0.025,0.084,0.000
1.750,6.000,1.068,0.055,0.015,0.079,0.000
2.000,6.000,1.069,0.052,0.007,0.076,0.000
2.250,6.000,1.070,0.047,0.001,0.074,-0.000
2.500,6.000,1.071,0.043,-0.004,0.072,-0.000
2.750,6.000,1.071,0.037,-0.008,0.070,0.000
3.000,6.000,1.071,0.032,-0.010,0.069,-0.000
