# plane x_D = 10 | grid 25 x 25, spacing 0.25 D | 625 of 625 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp,jet_tracer
-3.000,0.000,0.000,0.000,0.000,0.032,0.000
-2.750,0.000,0.000,0.000,0.000,0.034,0.000
-2.500,0.000,0.000,0.000,0.000,0.036,0.000
-2.250,0.000,0.000,0.000,0.000,0.038,0.000
-2.000,0.000,0.000,0.000,0.000,0.041,0.000
-1.750,0.000,0.000,0.000,0.000,0.043,0.000
-1.500,0.000,0.000,0.000,0.000,0.046,0.001
-1.250,0.000,0.000,0.000,0.000,0.048,0.001
-1.000,0.000,0.000,0.000,0.000,0.051,0.002
-0.750,0.000,0.000,0.000,0.000,0.055,0.003
-0.500,0.000,0.000,0.000,0.000,0.060,0.004
-0.250,0.000,0.000,0.000,0.000,0.064,0.004
0.000,0.000,0.000,0.000,0.000,0.067,0.004
0.250,0.000,0.000,0.000,0.000,0.064,0.004
0.500,0.000,0.000,0.000,0.000,0.059,0.004
0.750,0.000,0.000,0.000,0.000,0.055,0.003
1.000,0.000,0.000,0.000,0.000,0.051,0.002
1.250,0.000,0.000,0.000,0.000,0.048,0.001
1.500,0.000,0.000,0.000,0.000,0.046,0.001
1.750,0.000,0.000,0.000,0.000,0.043,0.000
2.000,0.000,0.000,0.000,0.000,0.041,0.000
2.250,0.000,0.000,0.000,0.000,0.038,0.000
2.500,0.000,0.000,0.000,0.000,0.036,0.000
2.750,0.000,0.000,0.000,0.000,0.034,0.000
3.000,0.000,0.000,0.000,0.000,0.032,0.000
-3.000,0.250,0.370,0.002,0.002,0.033,0.000
-2.750,0.250,0.337,0.000,0.003,0.034,0.000
-2.500,0.250,0.314,-0.003,0.003,0.037,0.000
-2.250,0.250,0.307,-0.005,0.003,0.039,0.000
-2.000,0.250,0.298,-0.007,0.003,0.041,0.000
-1.750,0.250,0.284,-0.010,0.003,0.044,0.000
-1.500,0.250,0.270,-0.014,0.003,0.046,0.001
-1.250,0.250,0.257,-0.019,0.004,0.049,0.001
-1.000,0.250,0.257,-0.025,0.003,0.051,0.002
-0.750,0.250,0.280,-0.031,0.002,0.055,0.003
-0.500,0.250,0.323,-0.031,-0.004,0.059,0.003
-0.250,0.250,0.370,-0.021,-0.012,0.063,0.004
0.000,0.250,0.390,0.000,-0.016,0.064,0.004
0.250,0.250,0.369,0.021,-0.012,0.062,0.004
0.500,0.250,0.322,0.031,-0.004,0.059,0.003
0.750,0.250,0.279,0.031,0.002,0.055,0.003
1.000,0.250,0.258,0.025,0.003,0.051,0.002
1.250,0.250,0.258,0.019,0.003,0.049,0.001
1.500,0.250,0.270,0.014,0.003,0.046,0.001
