# plane x_D = 10 | grid 25 x 25, spacing 0.25 D | 625 of 625 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp,jet_tracer
1.750,0.250,0.285,0.010,0.003,0.043,0.000
2.000,0.250,0.298,0.007,0.003,0.041,0.000
2.250,0.250,0.308,0.005,0.003,0.039,0.000
2.500,0.250,0.314,0.003,0.003,0.036,0.000
2.750,0.250,0.337,-0.000,0.003,0.034,0.000
3.000,0.250,0.370,-0.003,0.002,0.033,0.000
-3.000,0.500,0.648,0.015,0.006,0.033,0.000
-2.750,0.500,0.638,0.015,0.007,0.035,0.000
-2.500,0.500,0.629,0.015,0.008,0.037,0.000
-2.250,0.500,0.615,0.014,0.009,0.039,0.000
-2.000,0.500,0.596,0.012,0.010,0.041,0.000
-1.750,0.500,0.572,0.008,0.011,0.044,0.000
-1.500,0.500,0.542,0.003,0.011,0.047,0.000
-1.250,0.500,0.514,-0.003,0.012,0.049,0.001
-1.000,0.500,0.500,-0.011,0.010,0.052,0.001
-0.750,0.500,0.521,-0.018,0.005,0.054,0.002
-0.500,0.500,0.580,-0.022,-0.010,0.058,0.003
-0.250,0.500,0.647,-0.015,-0.030,0.061,0.004
0.000,0.500,0.677,-0.000,-0.040,0.063,0.005
0.250,0.500,0.646,0.015,-0.029,0.061,0.004
0.500,0.500,0.579,0.021,-0.009,0.057,0.003
0.750,0.500,0.521,0.018,0.005,0.054,0.002
1.000,0.500,0.501,0.010,0.010,0.051,0.001
1.250,0.500,0.515,0.003,0.011,0.049,0.001
1.500,0.500,0.543,-0.004,0.011,0.046,0.000
1.750,0.500,0.573,-0.009,0.010,0.044,0.000
2.000,0.500,0.597,-0.012,0.010,0.041,0.000
2.250,0.500,0.615,-0.014,0.009,0.039,0.000
2.500,0.500,0.629,-0.015,0.008,0.037,0.000
2.750,0.500,0.638,-0.016,0.007,0.035,0.000
3.000,0.500,0.648,-0.016,0.006,0.033,0.000
-3.000,0.750,0.902,0.030,0.011,0.034,0.000
-2.750,0.750,0.894,0.033,0.012,0.035,0.000
-2.500,0.750,0.886,0.037,0.013,0.037,0.000
-2.250,0.750,0.872,0.038,0.015,0.039,0.000
-2.000,0.750,0.853,0.039,0.017,0.042,0.000
-1.750,0.750,0.828,0.039,0.019,0.044,0.000
-1.500,0.750,0.795,0.037,0.021,0.047,0.000
-1.250,0.750,0.759,0.033,0.022,0.049,0.000
-1.000,0.750,0.728,0.028,0.019,0.052,0.001
-0.750,0.750,0.724,0.021,0.010,0.054,0.001
-0.500,0.750,0.758,0.012,-0.010,0.058,0.002
-0.250,0.750,0.808,0.005,-0.036,0.062,0.004
0.000,0.750,0.832,-0.001,-0.050,0.064,0.005
0.250,0.750,0.809,-0.006,-0.036,0.061,0.004
0.500,0.750,0.759,-0.014,-0.009,0.058,0.002
0.750,0.750,0.726,-0.022,0.010,0.054,0.001
1.000,0.750,0.730,-0.028,0.019,0.052,0.001
1.250,0.750,0.760,-0.034,0.021,0.049,0.000
1.500,0.750,0.796,-0.037,0.021,0.047,0.000
1.750,0.750,0.829,-0.039,0.019,0.044,0.000
2.000,0.750,0.854,-0.039,0.017,0.042,0.000
2.250,0.750,0.872,-0.039,0.015,0.039,0.000
2.500,0.750,0.887,-0.037,0.013,0.037,0.000
2.750,0.750,0.894,-0.033,0.012,0.035,0.000
3.000,0.750,0.902,-0.030,0.011,0.034,0.000
-3.000,1.000,1.029,0.035,0.010,0.033,0.000
-2.750,1.000,1.047,0.042,0.013,0.035,0.000
-2.500,1.000,1.047,0.048,0.015,0.037,0.000
-2.250,1.000,1.040,0.053,0.018,0.039,0.000
-2.000,1.000,1.028,0.057,0.021,0.042,0.000
-1.750,1.000,1.012,0.061,0.025,0.044,0.000
-1.500,1.000,0.990,0.064,0.028,0.047,0.000
-1.250,1.000,0.962,0.065,0.030,0.050,0.000
-1.000,1.000,0.932,0.063,0.028,0.053,0.000
-0.750,1.000,0.910,0.057,0.020,0.057,0.001
-0.500,1.000,0.909,0.045,0.002,0.061,0.002
-0.250,1.000,0.921,0.025,-0.024,0.065,0.004
0.000,1.000,0.926,-0.001,-0.037,0.067,0.006
0.250,1.000,0.922,-0.026,-0.023,0.065,0.004
0.500,1.000,0.911,-0.046,0.002,0.061,0.002
0.750,1.000,0.912,-0.058,0.020,0.057,0.001
1.000,1.000,0.933,-0.064,0.028,0.053,0.000
1.250,1.000,0.963,-0.065,0.029,0.050,0.000
1.500,1.000,0.991,-0.064,0.028,0.047,0.000
1.750,1.000,1.013,-0.061,0.024,0.044,0.000
2.000,1.000,1.029,-0.057,0.021,0.042,0.000
2.250,1.000,1.040,-0.053,0.018,0.039,0.000
2.500,1.000,1.047,-0.048,0.015,0.037,0.000
2.750,1.000,1.047,-0.042,0.012,0.035,0.000
3.000,1.000,1.029,-0.035,0.010,0.033,0.000
-3.000,1.250,1.110,0.041,0.008,0.033,0.000
-2.750,1.250,1.112,0.046,0.009,0.034,0.000
-2.500,1.250,1.114,0.053,0.013,0.036,0.000
-2.250,1.250,1.112,0.059,0.016,0.039,0.000
-2.000,1.250,1.108,0.066,0.019,0.041,0.000
-1.750,1.250,1.102,0.072,0.024,0.044,0.000
-1.500,1.250,1.092,0.077,0.029,0.047,0.000
-1.250,1.250,1.078,0.081,0.033,0.051,0.000
-1.000,1.250,1.060,0.082,0.034,0.055,0.000
-0.750,1.250,1.041,0.078,0.032,0.060,0.001
-0.500,1.250,1.022,0.064,0.021,0.065,0.002
-0.250,1.250,1.003,0.037,0.004,0.071,0.005
0.000,1.250,0.990,-0.001,-0.007,0.073,0.007
0.250,1.250,1.005,-0.038,0.004,0.071,0.005
0.500,1.250,1.024,-0.065,0.021,0.065,0.002
0.750,1.250,1.042,-0.078,0.031,0.060,0.001
1.000,1.250,1.061,-0.083,0.034,0.055,0.000
1.250,1.250,1.078,-0.081,0.032,0.051,0.000
1.500,1.250,1.092,-0.077,0.028,0.047,0.000
1.750,1.250,1.102,-0.072,0.023,0.044,0.000
2.000,1.250,1.108,-0.066,0.019,0.041,0.000
2.250,1.250,1.112,-0.059,0.015,0.039,0.000
2.500,1.250,1.114,-0.053,0.012,0.036,0.000
2.750,1.250,1.112,-0.046,0.009,0.034,0.000
3.000,1.250,1.110,-0.041,0.007,0.033,0.000
-3.000,1.500,1.122,0.040,0.002,0.032,0.000
-2.750,1.500,1.127,0.048,0.004,0.033,0.000
-2.500,1.500,1.129,0.055,0.007,0.036,0.000
-2.250,1.500,1.128,0.063,0.009,0.038,0.000
-2.000,1.500,1.127,0.070,0.013,0.040,0.000
-1.750,1.500,1.124,0.078,0.018,0.043,0.000
-1.500,1.500,1.121,0.085,0.024,0.047,0.000
-1.250,1.500,1.116,0.090,0.031,0.051,0.000
-1.000,1.500,1.109,0.091,0.037,0.056,0.001
-0.750,1.500,1.099,0.087,0.042,0.062,0.001
-0.500,1.500,1.083,0.072,0.043,0.069,0.003
-0.250,1.500,1.053,0.042,0.039,0.076,0.006
0.000,1.500,1.030,-0.000,0.034,0.078,0.009
0.250,1.500,1.054,-0.043,0.038,0.076,0.007
0.500,1.500,1.084,-0.072,0.043,0.069,0.003
0.750,1.500,1.100,-0.087,0.041,0.062,0.001
1.000,1.500,1.109,-0.091,0.036,0.056,0.001
1.250,1.500,1.116,-0.090,0.030,0.051,0.000
1.500,1.500,1.121,-0.084,0.024,0.047,0.000
1.750,1.500,1.124,-0.078,0.018,0.043,0.000
2.000,1.500,1.127,-0.070,0.013,0.040,0.000
2.250,1.500,1.128,-0.063,0.009,0.038,0.000
2.500,1.500,1.129,-0.055,0.006,0.036,0.000
2.750,1.500,1.127,-0.048,0.004,0.033,0.000
3.000,1.500,1.122,-0.040,0.002,0.032,0.000
-3.000,1.750,1.124,0.043,-0.004,0.031,0.000
-2.750,1.750,1.125,0.049,-0.003,0.032,0.000
-2.500,1.750,1.125,0.058,-0.001,0.034,0.000
-2.250,1.750,1.124,0.066,0.001,0.036,0.000
-2.000,1.750,1.123,0.075,0.005,0.039,0.000
-1.750,1.750,1.121,0.084,0.010,0.042,0.000
-1.500,1.750,1.120,0.091,0.017,0.046,0.000
-1.250,1.750,1.118,0.097,0.027,0.051,0.001
-1.000,1.750,1.115,0.099,0.038,0.056,0.001
-0.750,1.750,1.112,0.094,0.051,0.064,0.003
-0.500,1.750,1.103,0.077,0.066,0.072,0.005
-0.250,1.750,1.077,0.045,0.076,0.079,0.009
0.000,1.750,1.052,-0.000,0.079,0.082,0.012
0.250,1.750,1.077,-0.045,0.076,0.079,0.009
0.500,1.750,1.103,-0.077,0.065,0.072,0.005
0.750,1.750,1.112,-0.093,0.050,0.064,0.003
1.000,1.750,1.115,-0.099,0.037,0.056,0.001
1.250,1.750,1.118,-0.097,0.026,0.050,0.001
1.500,1.750,1.120,-0.091,0.017,0.046,0.000
1.750,1.750,1.121,-0.083,0.010,0.042,0.000
2.000,1.750,1.123,-0.075,0.005,0.039,0.000
2.250,1.750,1.124,-0.066,0.001,0.036,0.000
2.500,1.750,1.125,-0.057,-0.002,0.034,0.000
2.750,1.750,1.125,-0.049,-0.003,0.032,0.000
3.000,1.750,1.124,-0.043,-0.004,0.031,0.000
-3.000,2.000,1.119,0.042,-0.012,0.029,0.000
-2.750,2.000,1.119,0.050,-0.011,0.031,0.000
-2.500,2.000,1.118,0.060,-0.010,0.032,0.000
-2.250,2.000,1.117,0.069,-0.009,0.034,0.000
-2.000,2.000,1.116,0.079,-0.005,0.036,0.000
-1.750,2.000,1.114,0.090,0.000,0.039,0.000
-1.500,2.000,1.113,0.099,0.009,0.043,0.001
-1.250,2.000,1.111,0.107,0.021,0.048,0.001
-1.000,2.000,1.110,0.109,0.038,0.055,0.003
-0.750,2.000,1.109,0.103,0.062,0.063,0.006
-0.500,2.000,1.104,0.084,0.090,0.072,0.009
-0.250,2.000,1.084,0.049,0.116,0.081,0.012
0.000,2.000,1.062,0.000,0.126,0.084,0.015
0.250,2.000,1.084,-0.049,0.115,0.081,0.013
0.500,2.000,1.104,-0.083,0.089,0.072,0.009
0.750,2.000,1.109,-0.103,0.060,0.063,0.006
1.000,2.000,1.110,-0.109,0.037,0.055,0.003
1.250,2.000,1.111,-0.106,0.020,0.048,0.001
1.500,2.000,1.113,-0.099,0.008,0.043,0.001
1.750,2.000,1.114,-0.089,-0.000,0.039,0.000
2.000,2.000,1.116,-0.079,-0.005,0.036,0.000
2.250,2.000,1.117,-0.069,-0.009,0.034,0.000
2.500,2.000,1.118,-0.059,-0.011,0.032,0.000
2.750,2.000,1.119,-0.050,-0.011,0.031,0.000
3.000,2.000,1.119,-0.042,-0.012,0.029,0.000
-3.000,2.250,1.114,0.044,-0.019,0.028,0.000
-2.750,2.250,1.114,0.051,-0.020,0.028,0.000
-2.500,2.250,1.113,0.061,-0.020,0.030,0.000
-2.250,2.250,1.112,0.071,-0.019,0.031,0.000
-2.000,2.250,1.111,0.083,-0.017,0.033,0.000
-1.750,2.250,1.110,0.095,-0.012,0.035,0.000
-1.500,2.250,1.108,0.108,-0.003,0.039,0.001
-1.250,2.250,1.107,0.118,0.013,0.043,0.004
-1.000,2.250,1.106,0.123,0.038,0.050,0.008
-0.750,2.250,1.105,0.116,0.073,0.059,0.012
-0.500,2.250,1.100,0.094,0.117,0.070,0.016
-0.250,2.250,1.083,0.054,0.159,0.079,0.018
0.000,2.250,1.063,0.001,0.178,0.083,0.019
0.250,2.250,1.083,-0.053,0.158,0.079,0.018
0.500,2.250,1.100,-0.093,0.116,0.070,0.016
0.750,2.250,1.105,-0.115,0.072,0.059,0.012
1.000,2.250,1.106,-0.122,0.037,0.050,0.008
1.250,2.250,1.107,-0.118,0.013,0.044,0.004
1.500,2.250,1.108,-0.107,-0.003,0.039,0.001
1.750,2.250,1.110,-0.095,-0.012,0.035,0.000
2.000,2.250,1.111,-0.082,-0.017,0.033,0.000
2.250,2.250,1.112,-0.071,-0.020,0.031,0.000
2.500,2.250,1.113,-0.060,-0.020,0.030,0.000
2.750,2.250,1.114,-0.050,-0.020,0.028,0.000
3.000,2.250,1.114,-0.043,-0.020,0.028,0.000
-3.000,2.500,1.111,0.040,-0.027,0.026,0.000
-2.750,2.500,1.111,0.049,-0.029,0.026,0.000
-2.500,2.500,1.110,0.060,-0.031,0.026,0.000
-2.250,2.500,1.110,0.072,-0.032,0.027,0.000
-2.000,2.500,1.109,0.085,-0.031,0.028,0.000
-1.750,2.500,1.108,0.100,-0.027,0.029,0.001
-1.500,2.500,1.108,0.116,-0.017,0.032,0.004
-1.250,2.500,1.109,0.129,0.003,0.036,0.009
-1.000,2.500,1.109,0.135,0.037,0.042,0.018
-0.750,2.500,1.105,0.129,0.087,0.051,0.025
-0.500,2.500,1.096,0.104,0.147,0.062,0.028
-0.250,2.500,1.077,0.060,0.207,0.073,0.026
0.000,2.500,1.058,0.001,0.234,0.077,0.024
0.250,2.500,1.077,-0.058,0.206,0.073,0.026
0.500,2.500,1.096,-0.103,0.147,0.063,0.028
0.750,2.500,1.105,-0.128,0.086,0.051,0.025
1.000,2.500,1.109,-0.135,0.036,0.042,0.018
1.250,2.500,1.109,-0.129,0.003,0.036,0.009
1.500,2.500,1.108,-0.115,-0.017,0.032,0.004
1.750,2.500,1.108,-0.100,-0.027,0.029,0.001
2.000,2.500,1.109,-0.085,-0.031,0.028,0.000
2.250,2.500,1.110,-0.071,-0.032,0.027,0.000
2.500,2.500,1.110,-0.060,-0.031,0.026,0.000
2.750,2.500,1.111,-0.049,-0.029,0.026,0.000
3.000,2.500,1.111,-0.040,-0.027,0.026,0.000
-3.000,2.750,1.109,0.040,-0.036,0.023,0.000
-2.750,2.750,1.109,0.047,-0.038,0.023,0.000
-2.500,2.750,1.109,0.058,-0.042,0.023,0.000
-2.250,2.750,1.108,0.071,-0.045,0.022,0.000
-2.000,2.750,1.108,0.085,-0.046,0.022,0.001
-1.750,2.750,1.109,0.102,-0.044,0.022,0.003
-1.500,2.750,1.113,0.120,-0.033,0.022,0.009
-1.250,2.750,1.117,0.136,-0.008,0.024,0.022
-1.000,2.750,1.118,0.143,0.036,0.029,0.039
-0.750,2.750,1.110,0.136,0.101,0.038,0.051
-0.500,2.750,1.093,0.111,0.181,0.049,0.050
-0.250,2.750,1.069,0.064,0.258,0.060,0.038
0.000,2.750,1.050,0.001,0.294,0.065,0.031
0.250,2.750,1.069,-0.062,0.258,0.061,0.038
0.500,2.750,1.093,-0.109,0.180,0.049,0.049
0.750,2.750,1.110,-0.135,0.101,0.038,0.050
1.000,2.750,1.118,-0.142,0.036,0.029,0.038
1.250,2.750,1.117,-0.135,-0.009,0.025,0.022
1.500,2.750,1.112,-0.120,-0.034,0.023,0.009
1.750,2.750,1.109,-0.102,-0.044,0.022,0.003
2.000,2.750,1.108,-0.085,-0.046,0.022,0.001
2.250,2.750,1.108,-0.070,-0.045,0.022,0.000
2.500,2.750,1.109,-0.058,-0.042,0.023,0.000
2.750,2.750,1.109,-0.047,-0.038,0.023,0.000
3.000,2.750,1.109,-0.040,-0.035,0.023,0.000
-3.000,3.000,1.107,0.034,-0.042,0.021,0.000
-2.750,3.000,1.107,0.043,-0.048,0.020,0.000
-2.500,3.000,1.108,0.054,-0.053,0.018,0.000
-2.250,3.000,1.108,0.067,-0.058,0.017,0.000
-2.000,3.000,1.110,0.082,-0.062,0.015,0.002
-1.750,3.000,1.114,0.100,-0.062,0.013,0.007
-1.500,3.000,1.122,0.118,-0.051,0.011,0.021
-1.250,3.000,1.131,0.134,-0.019,0.010,0.046
-1.000,3.000,1.130,0.141,0.036,0.012,0.076
-0.750,3.000,1.114,0.135,0.116,0.019,0.093
-0.500,3.000,1.089,0.111,0.214,0.030,0.083
-0.250,3.000,1.058,0.065,0.311,0.042,0.056
0.000,3.000,1.037,0.001,0.355,0.047,0.040
0.250,3.000,1.058,-0.063,0.311,0.042,0.055
0.500,3.000,1.089,-0.110,0.214,0.030,0.083
0.750,3.000,1.114,-0.134,0.115,0.019,0.092
1.000,3.000,1.130,-0.140,0.035,0.012,0.075
1.250,3.000,1.131,-0.133,-0.020,0.010,0.046
1.500,3.000,1.122,-0.118,-0.051,0.011,0.020
1.750,3.000,1.114,-0.099,-0.062,0.013,0.007
2.000,3.000,1.110,-0.081,-0.062,0.015,0.002
2.250,3.000,1.108,-0.066,-0.058,0.017,0.000
2.500,3.000,1.108,-0.054,-0.053,0.019,0.000
2.750,3.000,1.107,-0.043,-0.047,0.020,0.000
3.000,3.000,1.107,-0.034,-0.042,0.021,0.000
-3.000,3.250,1.106,0.032,-0.051,0.018,0.000
-2.750,3.250,1.107,0.038,-0.056,0.016,0.000
-2.500,3.250,1.108,0.048,-0.064,0.014,0.000
-2.250,3.250,1.109,0.059,-0.072,0.011,0.001
-2.000,3.250,1.112,0.074,-0.079,0.007,0.003
-1.750,3.250,1.121,0.091,-0.080,0.002,0.013
-1.500,3.250,1.137,0.108,-0.066,-0.003,0.039
-1.250,3.250,1.147,0.122,-0.029,-0.007,0.083
-1.000,3.250,1.135,0.129,0.035,-0.007,0.128
-0.750,3.250,1.106,0.125,0.126,-0.003,0.149
-0.500,3.250,1.075,0.104,0.243,0.007,0.128
-0.250,3.250,1.043,0.062,0.361,0.018,0.079
0.000,3.250,1.022,0.001,0.415,0.024,0.052
0.250,3.250,1.043,-0.060,0.361,0.019,0.078
0.500,3.250,1.075,-0.103,0.244,0.007,0.127
0.750,3.250,1.107,-0.124,0.126,-0.002,0.147
1.000,3.250,1.136,-0.128,0.034,-0.007,0.126
1.250,3.250,1.147,-0.121,-0.030,-0.006,0.082
1.500,3.250,1.137,-0.107,-0.067,-0.002,0.039
1.750,3.250,1.121,-0.090,-0.080,0.003,0.013
2.000,3.250,1.112,-0.073,-0.078,0.007,0.003
2.250,3.250,1.109,-0.059,-0.071,0.011,0.001
2.500,3.250,1.108,-0.047,-0.064,0.014,0.000
2.750,3.250,1.107,-0.038,-0.056,0.017,0.000
3.000,3.250,1.106,-0.031,-0.051,0.018,0.000
-3.000,3.500,1.105,0.024,-0.055,0.016,0.000
-2.750,3.500,1.106,0.030,-0.063,0.013,0.000
-2.500,3.500,1.108,0.039,-0.073,0.010,0.000
-2.250,3.500,1.110,0.049,-0.084,0.005,0.001
-2.000,3.500,1.116,0.061,-0.093,-0.001,0.005
-1.750,3.500,1.131,0.076,-0.096,-0.008,0.022
-1.500,3.500,1.152,0.091,-0.080,-0.017,0.064
-1.250,3.500,1.154,0.105,-0.038,-0.024,0.125
-1.000,3.500,1.121,0.115,0.030,-0.028,0.180
-0.750,3.500,1.073,0.114,0.131,-0.026,0.205
-0.500,3.500,1.043,0.097,0.265,-0.018,0.178
-0.250,3.500,1.021,0.058,0.405,-0.009,0.107
0.000,3.500,1.004,0.001,0.470,-0.004,0.066
0.250,3.500,1.021,-0.056,0.406,-0.008,0.105
0.500,3.500,1.044,-0.096,0.266,-0.018,0.176
0.750,3.500,1.075,-0.113,0.131,-0.025,0.203
1.000,3.500,1.122,-0.114,0.030,-0.027,0.179
1.250,3.500,1.155,-0.104,-0.039,-0.024,0.124
1.500,3.500,1.152,-0.090,-0.080,-0.016,0.062
1.750,3.500,1.131,-0.075,-0.096,-0.008,0.022
2.000,3.500,1.116,-0.061,-0.093,-0.001,0.005
2.250,3.500,1.110,-0.048,-0.083,0.005,0.001
2.500,3.500,1.108,-0.039,-0.073,0.010,0.000
2.750,3.500,1.106,-0.030,-0.063,0.014,0.000
3.000,3.500,1.105,-0.024,-0.055,0.016,0.000
-3.000,3.750,1.105,0.018,-0.062,0.013,0.000
-2.750,3.750,1.106,0.022,-0.069,0.011,0.000
-2.500,3.750,1.108,0.028,-0.081,0.006,0.000
-2.250,3.750,1.111,0.035,-0.093,-0.000,0.001
-2.000,3.750,1.120,0.044,-0.105,-0.008,0.008
-1.750,3.750,1.141,0.056,-0.109,-0.019,0.032
-1.500,3.750,1.163,0.070,-0.092,-0.031,0.088
-1.250,3.750,1.147,0.088,-0.052,-0.042,0.160
-1.000,3.750,1.080,0.106,0.016,-0.049,0.217
-0.750,3.750,1.011,0.111,0.127,-0.051,0.243
-0.500,3.750,0.989,0.092,0.281,-0.046,0.220
-0.250,3.750,0.991,0.054,0.444,-0.038,0.136
0.000,3.750,0.982,0.000,0.520,-0.034,0.083
0.250,3.750,0.991,-0.053,0.445,-0.038,0.135
0.500,3.750,0.992,-0.091,0.282,-0.045,0.218
0.750,3.750,1.014,-0.109,0.127,-0.050,0.242
1.000,3.750,1.083,-0.104,0.016,-0.049,0.216
1.250,3.750,1.148,-0.087,-0.053,-0.041,0.159
1.500,3.750,1.163,-0.069,-0.092,-0.030,0.086
1.750,3.750,1.140,-0.055,-0.108,-0.018,0.031
2.000,3.750,1.120,-0.044,-0.105,-0.008,0.007
2.250,3.750,1.111,-0.035,-0.093,0.000,0.001
2.500,3.750,1.108,-0.028,-0.081,0.006,0.000
2.750,3.750,1.106,-0.022,-0.069,0.011,0.000
3.000,3.750,1.104,-0.018,-0.062,0.014,0.000
-3.000,4.000,1.103,0.009,-0.063,0.013,0.000
-2.750,4.000,1.105,0.012,-0.073,0.009,0.000
-2.500,4.000,1.108,0.015,-0.086,0.003,0.000
-2.250,4.000,1.112,0.019,-0.100,-0.004,0.001
-2.000,4.000,1.124,0.025,-0.113,-0.014,0.010
-1.750,4.000,1.148,0.032,-0.118,-0.028,0.040
-1.500,4.000,1.165,0.046,-0.107,-0.044,0.106
-1.250,4.000,1.123,0.071,-0.076,-0.061,0.181
-1.000,4.000,1.017,0.100,-0.009,-0.075,0.231
-0.750,4.000,0.926,0.111,0.117,-0.082,0.258
-0.500,4.000,0.917,0.091,0.294,-0.079,0.246
-0.250,4.000,0.950,0.051,0.478,-0.072,0.164
0.000,4.000,0.957,0.000,0.565,-0.067,0.101
0.250,4.000,0.952,-0.051,0.479,-0.071,0.162
0.500,4.000,0.920,-0.090,0.294,-0.078,0.246
0.750,4.000,0.930,-0.109,0.117,-0.080,0.258
1.000,4.000,1.021,-0.098,-0.008,-0.074,0.231
1.250,4.000,1.126,-0.070,-0.075,-0.060,0.179
1.500,4.000,1.166,-0.046,-0.106,-0.043,0.104
1.750,4.000,1.147,-0.032,-0.118,-0.027,0.039
2.000,4.000,1.123,-0.024,-0.113,-0.014,0.009
2.250,4.000,1.112,-0.019,-0.099,-0.004,0.001
2.500,4.000,1.108,-0.015,-0.085,0.003,0.000
2.750,4.000,1.105,-0.012,-0.073,0.009,0.000
3.000,4.000,1.103,-0.009,-0.062,0.013,0.000
-3.000,4.250,1.103,0.001,-0.066,0.011,0.000
-2.750,4.250,1.105,0.002,-0.075,0.008,0.000
-2.500,4.250,1.108,0.002,-0.088,0.001,0.000
-2.250,4.250,1.112,0.002,-0.102,-0.007,0.001
-2.000,4.250,1.125,0.003,-0.117,-0.018,0.010
-1.750,4.250,1.151,0.006,-0.125,-0.034,0.043
-1.500,4.250,1.162,0.019,-0.122,-0.055,0.113
-1.250,4.250,1.091,0.047,-0.107,-0.079,0.187
-1.000,4.250,0.942,0.082,-0.045,-0.104,0.232
-0.750,4.250,0.831,0.099,0.101,-0.120,0.258
-0.500,4.250,0.834,0.081,0.305,-0.118,0.257
-0.250,4.250,0.903,0.043,0.507,-0.106,0.186
0.000,4.250,0.929,-0.000,0.603,-0.099,0.119
0.250,4.250,0.905,-0.044,0.508,-0.105,0.184
0.500,4.250,0.839,-0.081,0.305,-0.116,0.257
0.750,4.250,0.837,-0.097,0.101,-0.117,0.258
1.000,4.250,0.948,-0.080,-0.044,-0.102,0.232
1.250,4.250,1.095,-0.045,-0.105,-0.078,0.185
1.500,4.250,1.162,-0.018,-0.122,-0.053,0.111
1.750,4.250,1.150,-0.006,-0.125,-0.033,0.042
2.000,4.250,1.124,-0.003,-0.117,-0.018,0.010
2.250,4.250,1.112,-0.002,-0.102,-0.007,0.001
2.500,4.250,1.108,-0.002,-0.087,0.001,0.000
2.750,4.250,1.105,-0.002,-0.074,0.008,0.000
3.000,4.250,1.103,-0.001,-0.066,0.011,0.000
-3.000,4.500,1.101,-0.007,-0.064,0.012,0.000
-2.750,4.500,1.104,-0.009,-0.074,0.007,0.000
-2.500,4.500,1.107,-0.012,-0.086,0.001,0.000
-2.250,4.500,1.111,-0.015,-0.101,-0.008,0.001
-2.000,4.500,1.123,-0.019,-0.116,-0.019,0.009
-1.750,4.500,1.148,-0.022,-0.128,-0.037,0.040
-1.500,4.500,1.155,-0.016,-0.135,-0.061,0.109
-1.250,4.500,1.063,0.006,-0.136,-0.093,0.183
-1.000,4.500,0.881,0.038,-0.084,-0.131,0.229
-0.750,4.500,0.753,0.058,0.080,-0.156,0.255
-0.500,4.500,0.761,0.050,0.310,-0.153,0.259
-0.250,4.500,0.854,0.024,0.526,-0.133,0.199
0.000,4.500,0.898,-0.001,0.625,-0.121,0.136
0.250,4.500,0.857,-0.026,0.526,-0.132,0.198
0.500,4.500,0.765,-0.051,0.309,-0.150,0.259
0.750,4.500,0.759,-0.058,0.079,-0.153,0.255
1.000,4.500,0.888,-0.037,-0.083,-0.128,0.228
