# plane y_D = 0 | grid 29 x 25 (spacing 0.5 D in x_D, 0.25 D in z_D) | 725 of 725 nodes | fields %.3f | nondimensional
x_D,z_D,u_U,v_U,w_U,cp,jet_tracer
-1.000,4.000,0.990,0.000,0.052,0.268,0.000
-0.500,4.000,0.985,0.000,0.069,0.277,0.000
0.000,4.000,0.978,0.000,0.093,0.287,0.000
0.500,4.000,0.972,0.000,0.125,0.294,0.000
1.000,4.000,0.966,0.000,0.167,0.295,0.000
1.500,4.000,0.956,0.001,0.225,0.292,0.000
2.000,4.000,0.992,0.001,0.341,0.276,0.026
2.500,4.000,1.382,0.001,0.624,0.193,0.275
3.000,4.000,1.453,0.000,0.645,0.064,0.467
3.500,4.000,0.897,-0.000,0.426,0.029,0.376
4.000,4.000,0.441,-0.001,0.361,-0.004,0.240
4.500,4.000,0.399,-0.002,0.493,-0.055,0.209
5.000,4.000,0.448,-0.003,0.620,-0.126,0.202
5.500,4.000,0.512,-0.003,0.702,-0.180,0.195
6.000,4.000,0.582,-0.002,0.742,-0.208,0.186
6.500,4.000,0.651,-0.002,0.752,-0.210,0.174
7.000,4.000,0.716,-0.001,0.745,-0.195,0.163
7.500,4.000,0.774,-0.001,0.726,-0.171,0.151
8.000,4.000,0.824,-0.001,0.698,-0.146,0.139
8.500,4.000,0.867,-0.000,0.666,-0.123,0.128
9.000,4.000,0.902,-0.000,0.632,-0.102,0.118
9.500,4.000,0.932,-0.000,0.599,-0.083,0.109
10.000,4.000,0.957,0.000,0.565,-0.067,0.101
10.500,4.000,0.979,0.000,0.534,-0.053,0.093
11.000,4.000,0.997,0.000,0.504,-0.041,0.087
11.500,4.000,1.013,0.000,0.475,-0.030,0.081
12.000,4.000,1.026,0.000,0.448,-0.021,0.076
-2.000,4.250,0.999,0.000,0.029,0.248,0.000
-1.500,4.250,0.997,0.000,0.037,0.251,0.000
-1.000,4.250,0.994,0.000,0.048,0.256,0.000
-0.500,4.250,0.991,0.000,0.062,0.262,0.000
0.000,4.250,0.987,0.000,0.081,0.266,0.000
0.500,4.250,0.984,0.000,0.106,0.269,0.000
1.000,4.250,0.982,0.000,0.137,0.267,0.000
1.500,4.250,0.980,0.000,0.176,0.261,0.000
2.000,4.250,0.976,0.001,0.226,0.249,0.001
2.500,4.250,1.041,0.001,0.329,0.224,0.035
3.000,4.250,1.338,0.001,0.513,0.162,0.233
3.500,4.250,1.405,0.001,0.538,0.082,0.402
4.000,4.250,1.014,0.000,0.410,0.058,0.367
4.500,4.250,0.567,-0.000,0.336,0.033,0.257
5.000,4.250,0.470,-0.001,0.431,-0.004,0.212
5.500,4.250,0.506,-0.002,0.548,-0.062,0.202
6.000,4.250,0.562,-0.002,0.634,-0.117,0.195
6.500,4.250,0.621,-0.002,0.685,-0.154,0.187
7.000,4.250,0.679,-0.002,0.707,-0.173,0.177
7.500,4.250,0.734,-0.002,0.710,-0.176,0.167
8.000,4.250,0.784,-0.001,0.701,-0.166,0.156
8.500,4.250,0.829,-0.001,0.683,-0.149,0.146
9.000,4.250,0.868,-0.001,0.659,-0.132,0.137
9.500,4.250,0.901,-0.001,0.632,-0.114,0.127
10.000,4.250,0.929,-0.000,0.603,-0.099,0.119
10.500,4.250,0.953,-0.000,0.574,-0.084,0.111
11.000,4.250,0.974,-0.000,0.545,-0.070,0.104
11.500,4.250,0.992,-0.000,0.517,-0.058,0.098
12.000,4.250,1.007,0.000,0.491,-0.046,0.092
-2.000,4.500,1.000,0.000,0.027,0.241,0.000
-1.500,4.500,0.999,0.000,0.034,0.243,0.000
-1.000,4.500,0.998,0.000,0.043,0.245,0.000
-0.500,4.500,0.996,0.000,0.055,0.247,0.000
0.000,4.500,0.995,0.000,0.071,0.249,0.000
0.500,4.500,0.994,0.000,0.090,0.248,-0.000
1.000,4.500,0.994,0.000,0.113,0.244,-0.000
1.500,4.500,0.995,0.000,0.140,0.237,0.000
2.000,4.500,0.996,0.000,0.173,0.225,0.000
2.500,4.500,0.998,0.001,0.214,0.208,0.001
3.000,4.500,1.055,0.001,0.287,0.185,0.028
3.500,4.500,1.261,0.001,0.406,0.147,0.166
4.000,4.500,1.353,0.001,0.448,0.098,0.324
4.500,4.500,1.129,0.001,0.390,0.076,0.344
5.000,4.500,0.730,0.000,0.319,0.063,0.275
5.500,4.500,0.553,-0.001,0.366,0.035,0.220
6.000,4.500,0.560,-0.001,0.468,-0.006,0.203
6.500,4.500,0.606,-0.002,0.556,-0.057,0.195
7.000,4.500,0.656,-0.002,0.617,-0.099,0.188
7.500,4.500,0.704,-0.002,0.651,-0.128,0.179
8.000,4.500,0.751,-0.002,0.666,-0.144,0.170
8.500,4.500,0.794,-0.002,0.667,-0.148,0.161
9.000,4.500,0.833,-0.002,0.659,-0.144,0.152
9.500,4.500,0.868,-0.001,0.644,-0.134,0.144
10.000,4.500,0.898,-0.001,0.625,-0.121,0.136
10.500,4.500,0.925,-0.001,0.603,-0.108,0.128
11.000,4.500,0.948,-0.001,0.578,-0.096,0.121
11.500,4.500,0.968,-0.001,0.553,-0.084,0.115
12.000,4.500,0.985,-0.000,0.528,-0.072,0.109
-2.000,4.750,1.001,0.000,0.025,0.235,-0.000
-1.500,4.750,1.001,0.000,0.031,0.235,0.000
-1.000,4.750,1.001,0.000,0.039,0.236,0.000
-0.500,4.750,1.000,0.000,0.049,0.236,-0.000
0.000,4.750,1.000,0.000,0.062,0.235,-0.000
0.500,4.750,1.001,0.000,0.076,0.232,-0.000
1.000,4.750,1.003,0.000,0.094,0.226,0.000
1.500,4.750,1.005,0.000,0.114,0.218,0.000
2.000,4.750,1.008,0.000,0.137,0.207,0.000
2.500,4.750,1.012,0.000,0.163,0.193,0.000
3.000,4.750,1.017,0.001,0.193,0.176,0.001
3.500,4.750,1.051,0.001,0.239,0.158,0.016
4.000,4.750,1.179,0.001,0.314,0.135,0.097
4.500,4.750,1.284,0.001,0.364,0.108,0.229
5.000,4.750,1.199,0.001,0.354,0.088,0.296
5.500,4.750,0.910,0.001,0.310,0.082,0.278
6.000,4.750,0.668,0.000,0.313,0.062,0.232
6.500,4.750,0.616,-0.001,0.388,0.036,0.206
7.000,4.750,0.644,-0.001,0.470,-0.004,0.196
7.500,4.750,0.687,-0.002,0.537,-0.045,0.188
8.000,4.750,0.728,-0.002,0.583,-0.078,0.181
8.500,4.750,0.767,-0.002,0.610,-0.103,0.173
9.000,4.750,0.804,-0.002,0.623,-0.118,0.165
9.500,4.750,0.838,-0.002,0.624,-0.125,0.158
10.000,4.750,0.868,-0.002,0.619,-0.125,0.150
10.500,4.750,0.896,-0.002,0.608,-0.120,0.143
11.000,4.750,0.920,-0.001,0.593,-0.112,0.137
11.500,4.750,0.942,-0.001,0.575,-0.102,0.130
12.000,4.750,0.961,-0.001,0.555,-0.092,0.124
-2.000,5.000,1.002,0.000,0.023,0.230,-0.000
-1.500,5.000,1.003,0.000,0.028,0.229,-0.000
-1.000,5.000,1.003,0.000,0.035,0.228,-0.000
-0.500,5.000,1.003,0.000,0.043,0.226,-0.000
0.000,5.000,1.005,0.000,0.054,0.224,0.000
0.500,5.000,1.006,0.000,0.065,0.219,0.000
1.000,5.000,1.009,0.000,0.079,0.212,-0.000
1.500,5.000,1.012,0.000,0.094,0.204,-0.000
2.000,5.000,1.016,0.000,0.110,0.193,0.000
2.500,5.000,1.021,0.000,0.128,0.180,0.000
3.000,5.000,1.026,0.000,0.147,0.166,0.000
3.500,5.000,1.030,0.001,0.168,0.153,0.000
4.000,5.000,1.047,0.001,0.197,0.139,0.007
4.500,5.000,1.111,0.001,0.241,0.125,0.045
5.000,5.000,1.202,0.001,0.288,0.112,0.132
5.500,5.000,1.204,0.001,0.305,0.095,0.220
6.000,5.000,1.055,0.001,0.294,0.089,0.250
6.500,5.000,0.824,0.001,0.281,0.080,0.236
7.000,5.000,0.696,0.000,0.316,0.061,0.213
7.500,5.000,0.684,-0.001,0.385,0.037,0.198
8.000,5.000,0.714,-0.001,0.451,0.003,0.189
8.500,5.000,0.750,-0.002,0.504,-0.030,0.182
9.000,5.000,0.784,-0.002,0.542,-0.058,0.176
9.500,5.000,0.815,-0.002,0.565,-0.079,0.169
10.000,5.000,0.844,-0.002,0.578,-0.093,0.162
10.500,5.000,0.871,-0.002,0.582,-0.102,0.156
11.000,5.000,0.895,-0.002,0.579,-0.106,0.149
11.500,5.000,0.917,-0.002,0.572,-0.105,0.144
12.000,5.000,0.936,-0.002,0.561,-0.101,0.138
-2.000,5.250,1.003,0.000,0.020,0.225,0.000
-1.500,5.250,1.004,0.000,0.025,0.223,-0.000
-1.000,5.250,1.005,0.000,0.031,0.221,-0.000
-0.500,5.250,1.006,0.000,0.038,0.218,0.000
0.000,5.250,1.008,0.000,0.047,0.214,0.000
0.500,5.250,1.010,0.000,0.056,0.209,-0.000
1.000,5.250,1.013,0.000,0.066,0.202,0.000
1.500,5.250,1.017,0.000,0.078,0.193,0.000
2.000,5.250,1.022,0.000,0.090,0.182,0.000
2.500,5.250,1.027,0.000,0.103,0.170,0.000
3.000,5.250,1.032,0.000,0.116,0.158,0.000
3.500,5.250,1.036,0.000,0.129,0.146,0.000
4.000,5.250,1.040,0.000,0.144,0.135,0.000
4.500,5.250,1.048,0.001,0.163,0.125,0.002
5.000,5.250,1.074,0.001,0.188,0.117,0.016
5.500,5.250,1.130,0.001,0.222,0.109,0.059
6.000,5.250,1.166,0.001,0.250,0.100,0.129
6.500,5.250,1.122,0.001,0.260,0.092,0.189
7.000,5.250,0.978,0.001,0.259,0.089,0.212
7.500,5.250,0.817,0.001,0.267,0.077,0.210
8.000,5.250,0.744,0.000,0.308,0.061,0.200
8.500,5.250,0.743,-0.000,0.366,0.039,0.191
9.000,5.250,0.768,-0.001,0.420,0.013,0.184
9.500,5.250,0.798,-0.001,0.464,-0.014,0.178
10.000,5.250,0.826,-0.002,0.496,-0.037,0.172
10.500,5.250,0.851,-0.002,0.518,-0.056,0.166
11.000,5.250,0.874,-0.002,0.532,-0.070,0.160
11.500,5.250,0.895,-0.002,0.538,-0.080,0.155
12.000,5.250,0.914,-0.002,0.539,-0.085,0.149
-2.000,5.500,1.004,0.000,0.018,0.221,-0.000
-1.500,5.500,1.005,0.000,0.023,0.218,-0.000
-1.000,5.500,1.006,0.000,0.028,0.215,-0.000
-0.500,5.500,1.008,0.000,0.034,0.212,-0.000
0.000,5.500,1.010,0.000,0.040,0.207,-0.000
0.500,5.500,1.013,0.000,0.048,0.201,0.000
1.000,5.500,1.017,0.000,0.056,0.193,-0.000
1.500,5.500,1.021,0.000,0.065,0.184,-0.000
2.000,5.500,1.025,0.000,0.074,0.174,-0.000
2.500,5.500,1.030,0.000,0.083,0.163,0.000
3.000,5.500,1.035,0.000,0.093,0.151,0.000
3.500,5.500,1.040,0.000,0.102,0.140,0.000
4.000,5.500,1.044,0.000,0.112,0.130,0.000
4.500,5.500,1.048,0.000,0.123,0.121,0.000
5.000,5.500,1.051,0.000,0.135,0.114,0.001
5.500,5.500,1.060,0.001,0.151,0.108,0.005
6.000,5.500,1.084,0.001,0.173,0.103,0.020
6.500,5.500,1.117,0.001,0.198,0.099,0.056
7.000,5.500,1.122,0.001,0.217,0.093,0.109
7.500,5.500,1.069,0.001,0.229,0.088,0.156
8.000,5.500,0.954,0.001,0.235,0.084,0.182
8.500,5.500,0.842,0.001,0.252,0.073,0.190
9.000,5.500,0.792,0.000,0.289,0.060,0.190
9.500,5.500,0.792,-0.000,0.336,0.043,0.186
10.000,5.500,0.811,-0.000,0.381,0.023,0.180
10.500,5.500,0.836,-0.001,0.418,0.002,0.174
11.000,5.500,0.859,-0.001,0.448,-0.017,0.169
11.500,5.500,0.879,-0.001,0.469,-0.034,0.164
12.000,5.500,0.897,-0.002,0.484,-0.047,0.159
-2.000,5.750,1.004,0.000,0.016,0.217,0.000
-1.500,5.750,1.006,0.000,0.020,0.214,-0.000
-1.000,5.750,1.007,0.000,0.024,0.210,-0.000
-0.500,5.750,1.010,0.000,0.029,0.206,-0.000
0.000,5.750,1.012,0.000,0.035,0.201,-0.000
0.500,5.750,1.015,0.000,0.041,0.194,-0.000
1.000,5.750,1.019,0.000,0.047,0.186,-0.000
1.500,5.750,1.023,0.000,0.054,0.177,0.000
2.000,5.750,1.028,0.000,0.061,0.167,0.000
2.500,5.750,1.033,0.000,0.068,0.157,-0.000
3.000,5.750,1.038,0.000,0.075,0.146,0.000
3.500,5.750,1.042,0.000,0.082,0.136,0.000
4.000,5.750,1.047,0.000,0.089,0.126,0.000
4.500,5.750,1.050,0.000,0.096,0.118,0.000
5.000,5.750,1.053,0.000,0.104,0.111,0.000
5.500,5.750,1.056,0.000,0.113,0.105,0.000
6.000,5.750,1.059,0.000,0.124,0.100,0.001
6.500,5.750,1.067,0.001,0.138,0.097,0.005
7.000,5.750,1.083,0.001,0.156,0.093,0.018
7.500,5.750,1.098,0.001,0.175,0.090,0.045
8.000,5.750,1.091,0.001,0.191,0.086,0.084
8.500,5.750,1.045,0.001,0.204,0.083,0.124
9.000,5.750,0.959,0.001,0.215,0.079,0.155
9.500,5.750,0.877,0.001,0.233,0.071,0.172
10.000,5.750,0.836,0.001,0.264,0.060,0.179
10.500,5.750,0.832,0.000,0.302,0.047,0.179
11.000,5.750,0.845,-0.000,0.338,0.032,0.176
11.500,5.750,0.864,-0.000,0.371,0.016,0.171
12.000,5.750,0.883,-0.001,0.398,0.001,0.167
-2.000,6.000,1.005,0.000,0.014,0.214,-0.000
-1.500,6.000,1.006,0.000,0.018,0.210,-0.000
-1.000,6.000,1.008,0.000,0.021,0.206,-0.000
-0.500,6.000,1.011,0.000,0.025,0.201,-0.000
0.000,6.000,1.014,0.000,0.030,0.196,-0.000
0.500,6.000,1.017,0.000,0.035,0.189,0.000
1.000,6.000,1.021,0.000,0.040,0.181,-0.000
1.500,6.000,1.025,0.000,0.045,0.172,-0.000
2.000,6.000,1.029,0.000,0.051,0.162,-0.000
2.500,6.000,1.034,0.000,0.056,0.152,0.000
3.000,6.000,1.039,0.000,0.061,0.142,-0.000
3.500,6.000,1.044,0.000,0.066,0.132,0.000
4.000,6.000,1.048,0.000,0.071,0.123,0.000
4.500,6.000,1.052,0.000,0.076,0.115,0.000
5.000,6.000,1.055,0.000,0.081,0.108,0.000
5.500,6.000,1.057,0.000,0.087,0.102,0.000
6.000,6.000,1.059,0.000,0.094,0.097,0.000
6.500,6.000,1.061,0.000,0.102,0.093,0.000
7.000,6.000,1.064,0.000,0.112,0.090,0.001
7.500,6.000,1.069,0.001,0.124,0.088,0.004
8.000,6.000,1.078,0.001,0.139,0.085,0.013
8.500,6.000,1.083,0.001,0.154,0.083,0.032
9.000,6.000,1.075,0.001,0.169,0.080,0.061
9.500,6.000,1.040,0.001,0.182,0.078,0.095
10.000,6.000,0.979,0.001,0.194,0.074,0.127
10.500,6.000,0.916,0.001,0.210,0.068,0.152
11.000,6.000,0.878,0.001,0.235,0.061,0.165
11.500,6.000,0.867,0.001,0.265,0.052,0.171
12.000,6.000,0.873,0.000,0.295,0.041,0.171
