# plane y_D = 0 | grid 29 x 25 (spacing 0.5 D in x_D, 0.25 D in z_D) | 725 of 725 nodes | fields %.3f | nondimensional
x_D,z_D,u_U,v_U,w_U,cp,jet_tracer
7.000,0.750,0.756,-0.001,-0.071,0.102,0.007
7.500,0.750,0.775,-0.001,-0.067,0.095,0.006
8.000,0.750,0.790,-0.001,-0.064,0.088,0.006
8.500,0.750,0.803,-0.001,-0.060,0.082,0.006
9.000,0.750,0.815,-0.001,-0.057,0.075,0.006
9.500,0.750,0.824,-0.001,-0.054,0.069,0.005
10.000,0.750,0.832,-0.001,-0.050,0.064,0.005
10.500,0.750,0.838,-0.001,-0.047,0.058,0.005
11.000,0.750,0.844,-0.001,-0.045,0.052,0.005
11.500,0.750,0.848,-0.001,-0.042,0.047,0.005
12.000,0.750,0.852,-0.001,-0.040,0.041,0.005
-2.000,1.000,1.041,0.001,0.048,0.346,-0.000
-1.500,1.000,1.014,0.000,0.047,0.403,-0.000
-1.000,1.000,0.930,-0.000,0.042,0.566,-0.000
-0.500,1.000,0.638,-0.000,0.094,1.008,0.000
0.000,1.000,0.715,-0.001,3.427,0.633,0.996
0.500,1.000,-0.220,-0.002,0.511,-1.339,0.173
1.000,1.000,-0.206,0.002,0.837,-1.395,0.163
1.500,1.000,0.082,0.002,1.008,-0.985,0.125
2.000,1.000,0.281,0.004,0.817,-0.395,0.077
2.500,1.000,0.430,0.003,0.541,-0.008,0.042
3.000,1.000,0.539,0.001,0.323,0.142,0.027
3.500,1.000,0.617,-0.001,0.181,0.182,0.020
4.000,1.000,0.677,-0.001,0.093,0.182,0.016
4.500,1.000,0.725,-0.002,0.040,0.172,0.014
5.000,1.000,0.764,-0.002,0.008,0.160,0.012
5.500,1.000,0.796,-0.002,-0.011,0.147,0.011
6.000,1.000,0.822,-0.002,-0.023,0.135,0.010
6.500,1.000,0.844,-0.001,-0.030,0.124,0.009
7.000,1.000,0.862,-0.001,-0.034,0.114,0.008
7.500,1.000,0.878,-0.001,-0.037,0.105,0.008
8.000,1.000,0.891,-0.001,-0.038,0.096,0.007
8.500,1.000,0.902,-0.001,-0.039,0.088,0.007
9.000,1.000,0.911,-0.001,-0.039,0.081,0.007
9.500,1.000,0.919,-0.001,-0.038,0.074,0.006
10.000,1.000,0.926,-0.001,-0.037,0.067,0.006
10.500,1.000,0.932,-0.001,-0.037,0.061,0.006
11.000,1.000,0.937,-0.001,-0.036,0.055,0.005
11.500,1.000,0.942,-0.001,-0.035,0.049,0.005
12.000,1.000,0.946,-0.001,-0.034,0.043,0.005
-2.000,1.250,1.021,0.000,0.045,0.344,-0.000
-1.500,1.250,0.993,0.000,0.048,0.404,-0.000
-1.000,1.250,0.916,-0.000,0.057,0.553,0.000
-0.500,1.250,0.696,-0.000,0.122,0.903,0.000
0.000,1.250,0.836,-0.001,2.778,0.980,0.915
0.500,1.250,-0.068,-0.004,0.585,-1.237,0.257
1.000,1.250,-0.166,-0.001,0.716,-1.314,0.189
1.500,1.250,0.001,-0.000,1.010,-1.120,0.155
2.000,1.250,0.179,0.003,0.979,-0.671,0.113
2.500,1.250,0.369,0.004,0.781,-0.205,0.072
3.000,1.250,0.533,0.003,0.560,0.069,0.047
3.500,1.250,0.653,0.001,0.384,0.179,0.034
4.000,1.250,0.737,0.000,0.262,0.207,0.026
4.500,1.250,0.797,-0.000,0.179,0.202,0.022
5.000,1.250,0.840,-0.001,0.124,0.187,0.018
5.500,1.250,0.872,-0.001,0.086,0.171,0.016
6.000,1.250,0.897,-0.001,0.060,0.155,0.014
6.500,1.250,0.917,-0.001,0.041,0.141,0.013
7.000,1.250,0.934,-0.001,0.028,0.128,0.011
7.500,1.250,0.948,-0.001,0.018,0.117,0.010
8.000,1.250,0.959,-0.001,0.010,0.106,0.009
8.500,1.250,0.969,-0.001,0.004,0.097,0.009
9.000,1.250,0.977,-0.001,-0.000,0.088,0.008
9.500,1.250,0.984,-0.001,-0.004,0.080,0.008
10.000,1.250,0.990,-0.001,-0.007,0.073,0.007
10.500,1.250,0.995,-0.001,-0.009,0.066,0.007
11.000,1.250,1.000,-0.001,-0.011,0.059,0.006
11.500,1.250,1.004,-0.001,-0.013,0.053,0.006
12.000,1.250,1.008,-0.001,-0.014,0.047,0.006
-2.000,1.500,1.006,0.000,0.044,0.340,-0.000
-1.500,1.500,0.978,0.000,0.050,0.398,-0.000
-1.000,1.500,0.910,0.000,0.067,0.528,-0.000
-0.500,1.500,0.740,0.000,0.135,0.803,0.000
0.000,1.500,0.664,-0.000,1.472,1.115,0.499
0.500,1.500,0.216,-0.004,1.019,-1.103,0.443
1.000,1.500,-0.138,-0.003,0.557,-1.172,0.205
1.500,1.500,-0.052,-0.001,0.941,-1.094,0.175
2.000,1.500,0.083,0.002,1.017,-0.819,0.139
2.500,1.500,0.276,0.003,0.930,-0.426,0.104
3.000,1.500,0.469,0.003,0.759,-0.093,0.075
3.500,1.500,0.623,0.002,0.584,0.095,0.054
4.000,1.500,0.734,0.002,0.441,0.174,0.041
4.500,1.500,0.812,0.001,0.333,0.196,0.033
5.000,1.500,0.867,0.000,0.255,0.193,0.027
5.500,1.500,0.906,0.000,0.198,0.180,0.023
6.000,1.500,0.935,-0.000,0.157,0.166,0.020
6.500,1.500,0.957,-0.000,0.126,0.151,0.017
7.000,1.500,0.975,-0.000,0.103,0.138,0.015
7.500,1.500,0.989,-0.000,0.084,0.126,0.014
8.000,1.500,1.000,-0.000,0.070,0.114,0.013
8.500,1.500,1.009,-0.000,0.058,0.104,0.011
9.000,1.500,1.017,-0.000,0.048,0.095,0.011
9.500,1.500,1.024,-0.000,0.041,0.086,0.010
10.000,1.500,1.030,-0.000,0.034,0.078,0.009
10.500,1.500,1.035,-0.000,0.028,0.071,0.008
11.000,1.500,1.040,-0.000,0.023,0.064,0.008
11.500,1.500,1.044,-0.000,0.019,0.057,0.007
12.000,1.500,1.047,-0.000,0.015,0.051,0.007
-2.000,1.750,0.995,0.000,0.043,0.334,-0.000
-1.500,1.750,0.969,0.000,0.052,0.387,-0.000
-1.000,1.750,0.911,0.000,0.073,0.497,0.000
-0.500,1.750,0.780,0.000,0.139,0.712,0.000
0.000,1.750,0.517,0.001,0.541,1.025,0.090
0.500,1.750,0.795,-0.003,1.964,-0.819,0.732
1.000,1.750,-0.122,-0.003,0.372,-1.010,0.213
1.500,1.750,-0.080,-0.002,0.845,-0.996,0.188
2.000,1.750,0.015,0.000,0.988,-0.858,0.159
2.500,1.750,0.186,0.002,0.992,-0.580,0.131
3.000,1.750,0.383,0.003,0.892,-0.280,0.105
3.500,1.750,0.558,0.003,0.749,-0.049,0.080
4.000,1.750,0.692,0.002,0.607,0.084,0.061
4.500,1.750,0.789,0.002,0.487,0.146,0.048
5.000,1.750,0.857,0.001,0.391,0.167,0.039
5.500,1.750,0.906,0.001,0.317,0.169,0.032
6.000,1.750,0.942,0.001,0.261,0.162,0.028
6.500,1.750,0.969,0.000,0.217,0.152,0.024
7.000,1.750,0.990,0.000,0.183,0.140,0.021
7.500,1.750,1.006,0.000,0.156,0.129,0.018
8.000,1.750,1.019,0.000,0.134,0.118,0.017
8.500,1.750,1.030,0.000,0.116,0.108,0.015
