# samples.csv | importance-weighted volumetric sample | jet_r2_re100
# field grad_vel_mag, alpha 1, N 800 of 436390 cells, seed 42 | p_i ~ Volume*grad_vel_mag^alpha, no replacement
# vol_weight: per-sample volume share, self-normalized so sum(vol_weight) = domain volume; sum(f*vol_weight) estimates the volume integral of f | fields %.3f, vol_weight %.2e | nondimensional
x_D,y_D,z_D,u_U,v_U,w_U,cp,jet_tracer,vol_weight
-2.187,2.313,0.070,0.291,0.017,-0.003,0.266,0.000,1.31e-01
-1.937,-1.188,0.175,0.590,-0.043,0.016,0.285,0.000,2.06e-01
-1.875,-2.875,0.020,0.085,-0.006,-0.000,0.217,0.000,1.30e-01
-1.812,1.688,0.020,0.083,0.009,0.000,0.254,0.000,1.33e-01
-1.812,1.812,0.070,0.280,0.024,0.003,0.248,0.000,1.44e-01
-1.687,-2.312,0.175,0.641,-0.036,0.015,0.211,0.000,2.06e-01
-1.687,-2.188,0.175,0.640,-0.038,0.015,0.214,0.000,2.06e-01
-1.562,-2.563,0.070,0.269,-0.016,0.003,0.188,0.000,1.50e-01
-1.562,2.062,0.020,0.081,0.008,0.000,0.203,0.000,1.37e-01
-1.562,-2.312,0.688,1.095,-0.040,0.039,0.199,-0.000,3.38e+00
-1.562,0.688,0.438,0.922,0.052,0.040,0.326,0.000,6.51e-01
-1.437,2.438,1.063,1.096,0.038,0.033,0.194,-0.000,6.01e+00
-1.375,-2.875,0.375,0.938,-0.038,0.031,0.167,-0.000,4.74e-01
-1.312,2.438,0.175,0.596,0.036,0.012,0.165,0.000,2.09e-01
-1.250,-3.250,0.300,0.852,-0.029,0.013,0.156,-0.000,3.19e-01
-1.250,0.750,7.250,1.010,0.003,0.007,0.196,-0.000,1.02e+02
-1.250,4.250,0.750,1.104,0.010,0.031,0.158,-0.000,2.03e+00
-1.250,4.750,0.300,0.852,0.003,0.011,0.160,0.000,3.20e-01
-1.187,-2.062,0.070,0.254,-0.022,0.002,0.153,0.000,1.60e-01
-1.187,0.562,5.563,1.007,0.005,0.024,0.214,-0.000,9.62e+01
-1.187,1.938,0.313,0.848,0.058,0.025,0.163,0.000,3.59e-01
-1.187,2.688,0.175,0.582,0.031,0.011,0.149,0.000,2.09e-01
-1.125,2.875,0.070,0.242,0.011,0.002,0.142,0.000,1.65e-01
-1.094,-0.531,0.070,0.163,-0.083,-0.001,0.329,0.000,2.21e-01
-1.094,-0.219,0.531,0.894,-0.045,0.016,0.453,0.000,7.83e-01
-1.031,-0.844,0.281,0.691,-0.123,0.006,0.252,0.000,3.04e-01
-0.844,-1.156,0.156,0.485,-0.113,0.001,0.146,0.000,2.23e-01
-0.844,0.594,0.156,0.390,0.180,-0.009,0.295,0.001,2.54e-01
-0.750,3.750,0.300,0.835,0.014,0.009,0.128,0.000,3.21e-01
-0.750,-3.750,0.750,1.112,-0.016,0.028,0.129,0.000,1.80e+00
-0.750,4.250,1.250,1.100,0.010,0.022,0.142,-0.000,1.26e+01
-0.656,0.656,0.344,0.781,0.219,-0.046,0.233,0.000,4.23e-01
-0.562,-2.688,0.313,0.822,-0.031,0.014,0.086,0.000,3.23e-01
-0.562,-1.686,0.020,0.082,-0.006,-0.000,0.051,0.000,1.38e-01
-0.469,-0.031,1.344,0.692,-0.020,0.137,0.892,0.000,8.16e-01
-0.469,0.344,0.531,0.656,0.389,-0.133,0.646,0.007,4.03e-01
-0.437,-1.938,4.438,1.018,-0.031,0.030,0.200,-0.000,3.27e+01
-0.437,-1.688,0.313,0.851,-0.071,-0.000,0.029,0.000,3.40e-01
-0.406,-0.344,0.906,0.714,-0.333,0.028,0.802,0.001,5.12e-01
-0.406,-0.094,0.219,0.080,-0.143,0.986,0.723,0.875,4.30e-02
-0.406,-0.031,1.406,0.662,-0.022,0.160,0.920,0.000,7.88e-01
-0.406,0.531,0.531,0.894,0.404,-0.154,0.264,0.002,5.44e-01
-0.344,-0.094,0.281,0.143,-0.126,1.692,0.738,0.964,4.20e-02
-0.344,0.156,0.469,0.291,0.357,0.913,0.955,0.713,4.64e-02
-0.281,0.094,0.219,0.122,0.068,2.476,0.444,0.998,5.28e-02
-0.281,1.031,0.113,0.549,0.095,-0.013,-0.122,0.001,1.59e-01
-0.250,-4.250,0.300,0.809,-0.004,0.008,0.106,-0.000,3.23e-01
-0.250,-3.750,0.300,0.816,-0.007,0.007,0.098,-0.000,3.22e-01
-0.250,-4.250,0.750,1.113,-0.007,0.025,0.107,-0.000,1.60e+00
-0.250,4.750,1.250,1.109,0.003,0.019,0.120,-0.000,1.61e+01
-0.219,-0.219,0.156,0.117,-0.097,2.430,-0.173,0.999,5.37e-02
-0.219,0.594,0.594,1.066,0.514,-0.214,-0.122,0.016,4.20e-01
-0.094,-0.656,0.719,1.179,-0.511,-0.216,-0.302,0.021,4.32e-01
-0.094,-0.406,0.844,0.911,-0.775,0.824,0.083,0.541,7.73e-02
-0.094,0.094,0.594,0.419,0.131,3.421,0.311,1.000,9.83e-02
-0.094,0.156,1.031,0.710,0.359,2.241,0.990,0.874,3.96e-02
-0.062,-2.062,0.313,0.849,-0.027,-0.001,-0.010,0.000,3.26e-01
-0.062,2.062,2.313,1.065,0.085,0.012,0.144,0.000,7.52e+00
-0.031,-0.281,1.031,0.848,-0.585,2.140,0.497,0.882,4.80e-02
0.031,-0.344,0.219,0.176,-0.123,2.154,-1.603,0.994,5.50e-02
0.031,0.469,0.281,0.777,0.179,0.926,-1.880,0.784,1.60e-01
0.063,-2.188,0.175,0.560,0.011,-0.001,-0.016,0.000,2.13e-01
0.094,-0.344,0.281,0.185,-0.157,2.086,-1.781,0.989,5.74e-02
0.094,-0.031,0.844,0.486,-0.048,3.683,-0.197,1.000,3.44e-01
0.094,0.406,0.031,0.031,0.014,1.222,-1.693,0.990,4.27e-02
0.094,0.906,0.781,1.304,0.271,-0.207,-0.404,0.001,7.57e-01
0.094,1.469,0.156,0.629,-0.021,-0.010,-0.163,0.000,1.86e-01
0.156,1.594,0.020,0.094,-0.021,-0.001,-0.140,0.000,1.18e-01
0.156,0.281,2.031,0.643,0.308,0.393,0.751,0.035,2.98e-01
0.188,-2.062,0.020,0.075,0.012,-0.000,-0.048,0.000,1.47e-01
0.188,-1.938,0.175,0.592,0.027,-0.004,-0.068,0.000,2.08e-01
0.219,-0.156,3.031,0.875,-0.042,0.203,0.470,0.000,3.22e+00
0.219,0.281,1.844,0.935,0.452,1.304,0.682,0.438,4.56e-02
0.219,0.406,2.469,0.799,0.218,0.241,0.557,0.000,1.52e+00
0.219,0.531,1.594,1.039,0.682,0.647,0.154,0.271,8.92e-02
0.250,-4.750,0.300,0.783,0.000,0.007,0.087,0.000,3.26e-01
0.250,-4.250,0.300,0.788,0.000,0.007,0.082,0.000,3.25e-01
0.250,-3.750,0.300,0.797,0.002,0.005,0.070,0.000,3.23e-01
0.250,-3.250,0.300,0.801,0.003,0.003,0.050,0.000,3.15e-01
0.250,3.250,0.300,0.801,-0.002,0.003,0.050,0.000,3.15e-01
0.250,3.750,0.300,0.796,-0.002,0.005,0.070,-0.000,3.23e-01
0.250,4.750,0.300,0.783,-0.000,0.007,0.087,0.000,3.26e-01
0.281,-0.281,1.719,1.293,-0.430,2.501,0.317,0.890,7.04e-02
0.281,-0.219,0.031,0.006,-0.019,1.966,-1.598,1.000,4.69e-02
0.281,0.031,1.156,0.494,0.043,2.845,-0.819,0.944,5.07e-02
0.281,0.469,1.656,1.205,0.668,1.371,0.105,0.577,5.73e-02
0.313,-2.688,0.175,0.516,0.021,0.000,0.007,0.000,2.19e-01
0.344,-0.094,0.656,-0.026,-0.228,1.696,-1.336,0.767,4.41e-02
0.344,-0.031,0.156,-0.022,-0.028,2.044,-1.286,0.992,4.60e-02
0.344,-0.031,2.156,1.002,-0.048,1.529,0.836,0.470,4.15e-02
0.344,0.281,0.094,-0.015,0.075,0.867,-1.726,0.927,4.78e-02
0.344,0.406,0.406,0.322,0.154,0.878,-2.053,0.716,2.19e-01
0.375,-2.875,0.175,0.511,0.022,-0.001,0.015,0.000,2.27e-01
0.406,1.469,0.219,0.807,-0.070,-0.018,-0.239,0.000,2.25e-01
0.469,-0.406,2.344,0.857,-0.426,0.509,0.477,0.095,1.42e-01
0.469,-0.344,1.531,0.764,-0.287,1.812,-0.948,0.812,5.77e-02
0.469,0.406,2.156,1.167,0.508,1.132,0.336,0.399,5.72e-02
0.531,-0.219,1.344,0.091,-0.192,0.582,-1.241,0.337,8.01e-02
0.531,0.906,0.219,1.112,-0.283,-0.048,-0.751,0.003,1.97e-01
0.563,2.562,0.175,0.515,-0.039,-0.001,-0.021,0.000,2.19e-01
0.594,0.031,1.594,0.038,0.021,0.504,-1.103,0.304,9.28e-02
0.594,0.219,2.469,1.171,0.281,1.284,0.556,0.408,5.22e-02
0.594,0.844,0.594,1.531,-0.149,-0.272,-1.095,0.037,8.51e-01
0.594,-0.531,0.020,0.052,0.188,0.012,-1.395,0.036,6.04e-02
0.594,-0.344,0.019,-0.030,0.073,0.017,-1.552,0.101,1.30e-01
0.625,-2.875,0.175,0.508,0.033,-0.002,0.001,0.000,2.28e-01
0.625,2.875,0.625,1.105,0.006,0.005,0.009,0.000,9.93e-01
0.656,-0.594,0.969,0.555,-0.308,0.471,-1.444,0.603,1.20e-01
0.656,-0.469,2.406,1.172,-0.491,0.828,0.239,0.279,7.54e-02
0.656,-0.406,2.344,1.447,-0.446,1.442,0.181,0.560,6.22e-02
0.688,1.688,1.688,1.184,0.115,-0.061,-0.090,0.000,2.81e+00
0.719,-1.406,0.070,0.295,0.140,-0.003,-0.302,0.000,1.29e-01
0.750,-4.750,0.300,0.761,0.002,0.006,0.067,0.000,3.28e-01
0.750,-3.250,0.300,0.784,0.020,0.001,0.025,0.000,3.16e-01
0.750,4.250,0.300,0.766,-0.006,0.005,0.061,0.000,3.26e-01
0.750,-4.750,7.750,1.029,-0.002,0.001,0.149,0.000,6.11e+01
0.750,-3.250,0.750,1.132,-0.004,0.010,0.030,-0.000,1.41e+00
0.750,3.250,0.750,1.132,0.004,0.010,0.030,-0.000,1.41e+00
0.750,3.750,0.750,1.122,0.001,0.016,0.051,-0.000,1.35e+00
