# samples.csv | importance-weighted volumetric sample | jet_r2_re100
# field grad_vel_mag, alpha 1, N 800 of 436390 cells, seed 42 | p_i ~ Volume*grad_vel_mag^alpha, no replacement
# vol_weight: per-sample volume share, self-normalized so sum(vol_weight) = domain volume; sum(f*vol_weight) estimates the volume integral of f | fields %.3f, vol_weight %.2e | nondimensional
x_D,y_D,z_D,u_U,v_U,w_U,cp,jet_tracer,vol_weight
2.813,1.812,0.175,0.339,-0.120,0.006,-0.044,0.000,2.50e-01
2.875,2.875,2.375,1.131,-0.010,-0.048,-0.008,0.000,1.20e+01
2.938,-0.562,2.063,0.474,0.158,0.117,-0.557,0.390,3.18e-01
2.938,-0.312,4.063,1.476,-0.136,0.586,0.108,0.366,4.85e-01
2.938,0.188,1.188,0.723,-0.213,0.550,0.040,0.066,4.53e-01
2.938,0.562,2.188,0.393,-0.127,0.070,-0.577,0.389,3.43e-01
2.938,0.938,3.563,1.389,0.278,0.187,-0.133,0.221,5.51e-01
2.938,0.938,3.813,1.215,0.288,0.104,-0.030,0.078,4.48e-01
3.063,-0.688,1.188,1.096,0.413,0.180,-0.103,0.049,2.11e+00
3.063,-0.562,4.188,1.221,-0.222,0.313,0.103,0.119,3.26e-01
3.063,-0.312,3.188,0.188,-0.175,0.320,-0.370,0.251,6.13e-01
3.063,0.062,3.813,0.940,0.036,0.479,0.005,0.421,1.35e-01
3.063,0.438,1.438,0.865,-0.346,0.410,-0.168,0.167,8.23e-01
3.063,0.938,0.563,0.884,-0.249,0.108,-0.018,0.000,3.37e-01
3.188,-0.812,3.188,1.003,-0.168,0.064,-0.360,0.396,1.85e-01
3.188,1.812,1.438,1.182,-0.154,-0.052,-0.083,0.000,9.47e+00
3.250,3.750,0.300,0.646,-0.044,0.003,0.019,0.000,3.42e-01
3.250,-4.750,0.020,0.043,0.001,-0.000,0.027,0.000,2.52e-01
3.250,-4.750,0.750,1.082,0.006,0.010,0.027,0.000,9.70e-01
3.250,4.750,0.300,0.637,-0.008,0.003,0.027,0.000,3.46e-01
3.313,-0.812,2.438,0.934,0.107,0.037,-0.464,0.378,2.44e-01
3.313,-0.688,2.563,0.583,0.090,-0.033,-0.500,0.372,2.50e-01
3.313,0.562,3.688,0.993,0.242,0.267,-0.145,0.412,1.49e-01
3.438,-1.062,0.563,0.856,0.210,0.082,0.008,0.000,3.47e-01
3.438,-0.938,0.313,0.359,0.103,0.039,0.016,0.000,3.03e-01
3.438,-0.688,2.313,0.758,0.158,0.081,-0.432,0.373,2.75e-01
3.438,-0.312,0.688,0.604,0.158,0.103,0.081,0.006,3.24e-01
3.438,0.312,2.813,0.172,-0.030,0.435,-0.514,0.314,2.72e-01
3.438,0.688,3.438,0.753,0.220,0.020,-0.295,0.349,1.89e-01
3.438,1.188,0.563,0.894,-0.205,0.070,0.001,0.000,3.74e-01
3.438,1.188,0.688,1.038,-0.220,0.075,-0.004,0.000,5.96e-01
3.438,0.688,0.175,0.104,-0.011,0.011,0.027,0.001,5.50e-01
3.438,0.812,0.175,0.132,-0.024,0.012,0.021,0.001,4.63e-01
3.438,1.312,0.070,0.084,-0.025,0.002,0.000,0.000,3.87e-01
3.563,-0.812,3.063,0.819,-0.056,-0.072,-0.413,0.361,2.16e-01
3.563,-0.562,0.938,1.022,0.293,0.188,0.064,0.010,7.69e-01
3.563,-0.312,0.563,0.433,0.094,0.038,0.068,0.004,3.78e-01
3.563,2.188,0.688,1.077,-0.116,0.013,-0.005,0.000,8.33e-01
3.625,-2.875,0.375,0.734,0.088,0.007,0.014,0.000,3.62e-01
3.688,-0.188,0.813,0.641,0.115,0.077,0.130,0.010,4.20e-01
3.688,0.062,1.063,0.665,-0.059,0.188,0.195,0.021,6.73e-01
3.688,0.188,4.563,1.247,0.072,0.372,0.134,0.146,3.95e-01
3.688,0.562,3.813,0.878,0.254,0.182,-0.138,0.369,1.64e-01
3.750,-3.750,0.300,0.617,0.043,0.004,0.023,0.000,3.48e-01
3.750,3.250,0.300,0.614,-0.065,0.005,0.020,0.000,3.41e-01
3.750,3.250,0.750,1.083,-0.051,0.008,0.015,0.000,9.53e-01
3.750,4.750,0.750,1.072,-0.006,0.009,0.027,0.000,9.26e-01
3.750,-4.750,0.750,1.072,0.006,0.009,0.027,0.000,9.26e-01
3.750,3.750,0.300,0.617,-0.043,0.004,0.023,0.000,3.48e-01
3.750,4.750,0.300,0.611,-0.008,0.003,0.028,0.000,3.51e-01
3.813,-1.062,2.813,1.281,0.032,-0.005,-0.334,0.276,6.78e-01
3.813,-0.938,2.938,1.106,0.007,0.001,-0.366,0.356,2.85e-01
3.813,1.312,3.813,1.176,0.196,-0.088,-0.082,0.026,1.03e+00
3.813,-1.562,0.175,0.253,0.064,0.008,0.016,0.000,3.17e-01
3.813,2.062,0.070,0.116,-0.030,0.001,0.010,0.000,3.02e-01
3.938,-2.438,0.313,0.591,0.099,0.007,0.015,0.000,3.02e-01
3.938,-0.312,3.063,0.241,0.026,0.447,-0.448,0.308,2.99e-01
3.938,-0.188,1.438,0.860,0.161,0.412,0.159,0.049,6.39e-01
3.938,-0.062,0.438,0.318,0.001,-0.076,0.083,0.007,6.71e-01
3.938,2.188,4.063,1.104,0.071,-0.058,0.016,0.000,1.22e+01
4.063,-0.812,3.813,1.174,-0.233,0.122,-0.181,0.377,2.37e-01
4.063,-0.188,0.688,0.545,0.066,-0.012,0.109,0.007,5.52e-01
4.063,0.062,0.563,0.430,-0.012,-0.080,0.100,0.008,7.37e-01
4.063,0.688,4.188,1.372,0.232,0.302,-0.032,0.354,1.29e+00
4.063,-2.062,0.175,0.294,0.065,0.004,0.019,0.000,2.97e-01
4.188,-0.562,3.063,0.388,0.076,0.051,-0.413,0.324,6.49e-01
4.188,0.188,4.313,1.060,0.100,0.386,0.051,0.369,1.96e-01
4.188,0.562,4.313,1.349,0.207,0.341,0.005,0.360,8.30e-01
4.250,4.250,0.750,1.063,-0.020,0.008,0.027,0.000,8.88e-01
4.313,0.438,4.688,1.251,0.144,0.295,0.094,0.148,5.34e-01
4.313,0.562,3.938,0.641,0.263,0.060,-0.166,0.291,2.53e-01
4.313,0.688,5.063,1.055,0.112,0.118,0.105,0.001,8.00e+00
4.313,0.812,3.438,0.784,0.085,-0.101,-0.326,0.331,2.48e-01
4.313,-0.688,0.020,0.011,-0.005,0.000,0.063,0.002,9.09e-01
4.438,-2.062,3.938,1.115,-0.070,-0.087,-0.008,0.000,1.07e+01
4.438,-1.688,0.438,0.686,0.120,0.024,0.036,0.000,3.37e-01
4.438,0.938,3.438,1.055,0.079,-0.052,-0.285,0.343,2.73e-01
4.438,0.812,0.175,0.130,0.007,0.006,0.063,0.001,5.78e-01
4.438,1.813,0.020,0.028,-0.004,0.000,0.032,0.000,3.74e-01
4.563,-0.188,1.063,0.839,0.107,0.101,0.168,0.013,5.77e-01
4.563,-0.188,3.313,0.388,0.013,0.705,-0.356,0.247,3.49e-01
4.563,0.438,0.313,0.227,0.016,-0.002,0.080,0.003,6.20e-01
4.563,2.062,0.313,0.517,-0.087,0.010,0.032,0.000,3.14e-01
4.563,-1.688,0.175,0.246,0.040,0.005,0.040,0.000,3.44e-01
4.563,-0.188,0.175,0.142,-0.026,-0.019,0.092,0.005,6.17e-01
4.563,0.562,0.020,0.011,0.006,0.000,0.075,0.003,8.28e-01
4.688,-1.812,0.313,0.481,0.081,0.013,0.040,0.000,3.22e-01
4.688,0.438,4.563,1.290,0.168,0.329,0.043,0.325,7.47e-01
4.688,-2.687,0.020,0.035,0.005,0.000,0.030,0.000,2.98e-01
4.750,-3.750,0.750,1.055,0.036,0.008,0.028,0.000,8.52e-01
4.750,-3.250,0.300,0.554,0.053,0.005,0.031,0.000,3.57e-01
4.750,-3.250,0.750,1.056,0.053,0.010,0.028,0.000,8.63e-01
4.750,-3.750,0.300,0.563,0.036,0.004,0.030,0.000,3.61e-01
4.750,4.250,0.020,0.037,-0.002,-0.000,0.029,0.000,2.88e-01
4.813,0.688,0.563,0.557,-0.092,0.043,0.079,0.001,3.67e-01
4.813,0.062,0.175,0.169,0.011,-0.025,0.099,0.005,5.39e-01
4.938,-0.688,0.313,0.250,-0.002,0.012,0.078,0.001,5.37e-01
4.938,1.312,4.438,1.131,0.186,-0.039,-0.012,0.016,1.57e+00
5.063,-2.062,0.938,1.120,0.110,0.018,0.037,0.000,2.08e+00
5.063,-0.688,4.188,0.839,-0.256,0.025,-0.135,0.306,2.38e-01
5.063,0.562,4.063,0.540,0.234,0.029,-0.200,0.261,4.83e-01
5.063,0.938,3.688,1.000,0.091,-0.088,-0.243,0.327,2.86e-01
5.125,2.875,0.175,0.315,-0.038,0.003,0.035,0.000,3.14e-01
5.188,-2.062,0.563,0.858,0.104,0.020,0.043,0.000,4.46e-01
5.188,-1.062,5.438,1.068,-0.098,0.057,0.080,0.000,1.86e+01
5.188,-0.938,3.313,0.996,0.046,-0.052,-0.245,0.324,3.49e-01
5.188,-0.062,4.688,1.009,-0.031,0.333,0.084,0.305,2.61e-01
5.188,0.312,3.563,0.413,-0.018,0.486,-0.323,0.288,3.62e-01
5.188,1.188,4.813,1.098,0.173,0.017,0.031,0.007,2.81e+00
5.188,-1.562,0.175,0.224,0.018,0.005,0.055,0.000,3.86e-01
5.250,-4.250,0.750,1.040,0.020,0.008,0.031,0.000,8.26e-01
5.250,-4.750,0.750,1.039,0.007,0.008,0.031,0.000,8.28e-01
5.250,-4.250,0.300,0.540,0.020,0.003,0.032,0.000,3.69e-01
5.250,-3.250,0.300,0.528,0.046,0.005,0.035,0.000,3.65e-01
5.250,3.250,0.300,0.528,-0.046,0.005,0.035,0.000,3.65e-01
5.250,4.750,0.300,0.540,-0.006,0.003,0.032,0.000,3.70e-01
5.313,2.312,0.813,1.073,-0.094,0.016,0.039,0.000,1.08e+00
5.313,-2.312,0.175,0.279,0.033,0.003,0.042,0.000,3.27e-01
5.438,-0.938,4.813,1.182,-0.204,0.091,0.026,0.074,8.31e-01
5.438,1.562,0.688,0.926,-0.121,0.036,0.057,0.000,5.25e-01
5.438,-1.562,0.070,0.087,0.002,0.001,0.057,0.000,4.24e-01
5.563,-0.562,3.938,0.462,-0.100,0.070,-0.295,0.278,1.31e+00
5.625,2.875,0.625,0.944,-0.066,0.013,0.038,0.000,5.67e-01
5.688,-0.938,3.938,0.954,-0.112,-0.114,-0.209,0.307,3.03e-01
5.688,-0.438,1.063,0.969,0.136,0.070,0.121,0.004,7.88e-01
5.688,-0.312,4.688,0.794,-0.171,0.236,0.040,0.268,2.87e-01
5.688,0.062,0.813,0.724,-0.018,-0.064,0.123,0.008,1.07e+00
5.750,-4.250,0.750,1.028,0.020,0.008,0.033,0.000,8.02e-01
5.750,-3.250,0.750,1.028,0.050,0.012,0.035,0.000,7.96e-01
5.750,-3.250,0.020,0.033,0.002,-0.000,0.036,0.000,3.21e-01
5.750,-3.250,0.300,0.504,0.039,0.004,0.037,0.000,3.73e-01
5.750,3.750,0.300,0.516,-0.028,0.004,0.035,0.000,3.75e-01
5.750,4.250,0.300,0.519,-0.017,0.003,0.034,0.000,3.76e-01
5.750,4.750,0.300,0.519,-0.005,0.003,0.033,0.000,3.76e-01
5.875,-2.875,0.625,0.932,0.063,0.013,0.038,0.000,5.59e-01
5.875,2.875,0.175,0.290,-0.026,0.003,0.040,0.000,3.35e-01
5.938,1.812,0.313,0.435,-0.040,0.010,0.056,0.000,3.66e-01
5.938,2.438,0.813,1.056,-0.082,0.016,0.043,0.000,1.00e+00
6.063,-0.938,3.813,0.900,-0.020,-0.118,-0.218,0.302,3.42e-01
6.063,-0.938,4.563,1.219,-0.227,0.036,-0.066,0.260,6.91e-01
6.063,-0.812,0.813,0.856,0.118,0.051,0.086,0.000,4.96e-01
6.063,-0.188,4.063,0.546,-0.039,0.627,-0.214,0.226,5.11e-01
6.063,1.438,0.313,0.381,-0.024,0.011,0.065,0.000,4.03e-01
6.063,1.812,0.813,1.024,-0.106,0.029,0.055,0.000,8.11e-01
6.063,-2.188,0.175,0.259,0.017,0.003,0.049,0.000,3.56e-01
6.188,-1.188,3.188,1.209,0.091,-0.064,-0.123,0.183,2.26e+00
6.188,-0.312,5.563,1.074,-0.056,0.148,0.096,0.010,2.57e+00
6.188,-0.188,4.938,0.900,-0.095,0.268,0.078,0.255,3.22e-01
6.188,0.062,3.313,0.742,-0.017,0.765,-0.155,0.131,1.94e+00
6.188,0.188,4.813,0.697,0.110,0.271,0.056,0.237,4.89e-01
6.188,1.812,0.175,0.235,-0.008,0.003,0.057,0.000,3.88e-01
6.250,4.250,0.750,1.016,-0.019,0.008,0.034,0.000,7.82e-01
6.250,-4.750,0.750,1.016,0.006,0.008,0.033,0.000,7.84e-01
6.250,4.250,0.300,0.499,-0.015,0.003,0.035,0.000,3.82e-01
6.250,4.750,0.300,0.501,-0.005,0.003,0.034,0.000,3.82e-01
6.250,-4.750,2.750,1.105,0.003,-0.026,0.031,0.000,4.11e+01
6.313,-0.688,2.938,0.994,0.146,0.165,-0.103,0.267,9.25e-01
6.313,-0.312,5.688,1.065,-0.048,0.130,0.095,0.003,5.48e+00
6.313,0.438,4.313,0.521,0.145,0.248,-0.194,0.258,1.22e+00
6.313,1.438,0.938,1.056,-0.120,0.041,0.065,0.000,1.06e+00
6.438,0.938,0.813,0.874,-0.110,0.047,0.081,0.000,5.21e-01
6.438,-0.562,0.175,0.179,-0.038,0.000,0.087,0.003,5.52e-01
6.438,-0.062,0.070,0.102,-0.005,-0.004,0.105,0.005,3.75e-01
6.563,-0.938,3.563,0.964,0.077,-0.042,-0.170,0.299,4.70e-01
6.563,-0.812,5.188,1.165,-0.178,0.110,0.041,0.082,1.45e+00
6.563,0.688,5.188,1.179,0.174,0.146,0.048,0.121,2.43e+00
6.563,0.812,3.063,1.046,-0.136,0.092,-0.105,0.264,8.65e-01
6.563,2.188,0.313,0.453,-0.033,0.007,0.051,0.000,3.68e-01
6.688,-1.938,0.563,0.768,0.070,0.019,0.056,0.000,4.41e-01
6.688,-1.562,0.313,0.388,0.015,0.009,0.063,0.000,4.12e-01
6.688,-1.562,3.438,1.179,0.046,-0.151,-0.070,0.048,2.41e+00
6.688,1.938,5.438,1.088,0.081,-0.023,0.038,0.000,2.30e+01
6.750,-4.250,0.750,1.004,0.018,0.008,0.035,0.000,7.65e-01
6.750,-3.750,0.750,1.005,0.031,0.010,0.036,0.000,7.60e-01
6.813,1.812,4.563,1.114,0.092,-0.098,-0.013,0.002,6.39e+00
6.938,-1.438,0.688,0.828,0.081,0.032,0.066,0.000,4.91e-01
6.938,-0.312,4.313,0.577,-0.060,0.468,-0.201,0.253,5.33e-01
6.938,1.062,1.313,1.109,-0.137,0.048,0.077,0.000,6.24e+00
7.063,-0.062,0.813,0.789,0.008,-0.066,0.103,0.007,1.20e+00
7.063,0.562,3.188,0.931,-0.121,0.250,-0.088,0.269,1.24e+00
7.063,-0.062,0.175,0.267,-0.008,-0.017,0.097,0.005,3.88e-01
7.063,-1.688,0.020,0.025,-0.002,0.000,0.059,0.000,4.26e-01
7.125,-2.875,0.175,0.262,0.012,0.003,0.042,0.000,3.68e-01
7.125,-2.875,0.375,0.546,0.033,0.008,0.042,0.000,3.86e-01
7.188,-2.188,0.313,0.437,0.021,0.007,0.051,0.000,3.84e-01
7.188,-0.938,0.813,0.843,0.088,0.039,0.077,0.000,5.29e-01
7.188,-0.438,4.063,0.576,0.032,0.344,-0.233,0.286,5.95e-01
7.188,0.562,3.563,0.773,-0.110,0.228,-0.145,0.302,1.02e+00
7.188,2.188,0.070,0.098,0.001,0.000,0.051,0.000,3.85e-01
7.188,-2.687,0.070,0.102,0.002,0.001,0.044,0.000,3.68e-01
7.250,-4.750,2.750,1.105,0.004,-0.026,0.031,0.000,4.41e+01
7.250,-4.250,0.750,0.993,0.018,0.008,0.035,0.000,7.51e-01
7.250,-3.250,0.750,0.987,0.042,0.012,0.039,0.000,7.34e-01
7.250,3.250,0.750,0.987,-0.042,0.012,0.039,0.000,7.34e-01
7.250,4.750,1.250,1.124,-0.005,0.001,0.034,-0.000,4.08e+00
7.250,-4.250,0.300,0.467,0.010,0.002,0.035,0.000,3.95e-01
7.250,-3.250,0.300,0.449,0.021,0.003,0.040,0.000,3.97e-01
7.250,4.750,0.300,0.469,-0.003,0.002,0.034,0.000,3.95e-01
7.313,-1.188,4.688,1.204,-0.171,-0.064,-0.069,0.176,2.21e+00
7.313,-1.062,1.063,1.046,0.115,0.047,0.075,0.000,1.10e+00
7.313,-1.062,4.813,1.177,-0.200,-0.034,-0.059,0.196,1.04e+00
7.313,-0.938,3.938,0.879,0.044,-0.088,-0.174,0.282,4.60e-01
7.313,0.438,0.313,0.366,0.038,-0.009,0.086,0.004,5.33e-01
7.313,0.688,4.188,0.610,0.006,0.031,-0.233,0.277,1.11e+00
7.438,-0.562,5.188,0.995,-0.208,0.136,0.026,0.214,4.42e-01
7.438,-0.438,4.313,0.575,-0.029,0.333,-0.224,0.275,6.67e-01
7.438,2.688,0.688,0.924,-0.055,0.014,0.044,0.000,5.99e-01
7.438,-2.312,0.175,0.245,0.003,0.002,0.049,0.000,3.84e-01
7.563,-2.438,0.438,0.612,0.035,0.010,0.047,0.000,4.02e-01
7.563,-1.562,0.813,0.941,0.083,0.032,0.062,0.000,6.44e-01
7.563,-1.188,0.438,0.467,0.009,0.014,0.068,0.000,4.73e-01
7.563,-0.812,1.063,1.005,0.109,0.046,0.081,0.000,9.00e-01
7.563,-0.188,5.813,1.090,-0.036,0.157,0.088,0.025,3.10e+00
7.563,0.688,0.175,0.189,0.034,0.002,0.077,0.003,5.27e-01
7.563,-1.062,0.070,0.073,-0.012,0.000,0.070,0.001,5.20e-01
7.625,-2.875,0.875,1.044,0.053,0.013,0.042,0.000,1.07e+00
7.688,-0.062,4.813,0.699,-0.032,0.525,-0.036,0.188,1.24e+00
7.750,4.750,0.070,0.107,-0.000,0.000,0.034,0.000,3.54e-01
7.750,-4.750,0.750,0.982,0.005,0.008,0.034,0.000,7.42e-01
7.750,-4.250,0.750,0.981,0.017,0.008,0.034,0.000,7.39e-01
7.750,3.250,0.750,0.974,-0.039,0.012,0.039,0.000,7.20e-01
7.750,3.750,0.750,0.981,-0.028,0.010,0.036,0.000,7.34e-01
7.750,-4.250,0.300,0.454,0.008,0.002,0.035,0.000,4.01e-01
7.938,-1.062,0.563,0.579,0.022,0.020,0.068,0.000,4.90e-01
7.938,-0.062,2.063,1.021,0.021,0.224,0.116,0.023,4.99e+00
7.938,0.438,4.313,0.624,-0.008,0.351,-0.209,0.275,6.33e-01
7.938,0.438,4.563,0.620,0.074,0.319,-0.185,0.261,8.06e-01
7.938,1.188,0.438,0.463,-0.004,0.013,0.066,0.000,4.86e-01
7.938,2.062,0.688,0.868,-0.060,0.019,0.052,0.000,5.48e-01
7.938,-1.813,0.020,0.026,-0.002,0.000,0.055,0.000,4.21e-01
7.938,2.188,0.175,0.237,0.002,0.002,0.049,0.000,3.99e-01
8.188,-2.688,0.438,0.601,0.026,0.009,0.042,0.000,4.01e-01
8.188,-0.688,3.063,1.079,0.142,0.166,-0.022,0.180,2.58e+00
8.188,0.438,5.438,0.962,0.166,0.167,0.050,0.188,5.31e-01
8.188,0.562,0.813,0.782,-0.049,0.007,0.076,0.001,6.66e-01
8.250,-4.250,0.750,0.970,0.016,0.008,0.034,0.000,7.29e-01
8.250,-4.250,1.250,1.120,0.016,0.002,0.033,-0.000,3.49e+00
8.250,-3.250,0.750,0.961,0.036,0.011,0.038,0.000,7.09e-01
8.250,4.250,0.750,0.970,-0.016,0.008,0.034,0.000,7.29e-01
8.250,4.750,0.020,0.030,-0.000,0.000,0.033,0.000,3.62e-01
8.250,3.750,0.020,0.029,-0.000,0.000,0.035,0.000,3.67e-01
8.313,-0.562,4.688,0.635,-0.108,0.175,-0.181,0.259,2.08e+00
8.313,-0.312,1.063,0.936,0.053,-0.002,0.088,0.004,1.17e+00
8.313,2.688,0.688,0.894,-0.046,0.013,0.043,0.000,5.80e-01
8.438,1.562,4.313,1.186,0.043,-0.132,-0.058,0.082,4.30e+00
8.563,-1.188,4.313,1.080,-0.016,-0.137,-0.115,0.223,6.59e-01
8.563,-0.562,3.813,0.842,0.105,0.243,-0.110,0.281,1.14e+00
8.563,-0.312,0.313,0.433,-0.031,-0.018,0.077,0.004,4.70e-01
8.563,0.688,0.813,0.781,-0.050,0.016,0.070,0.001,6.29e-01
8.625,2.875,0.175,0.241,-0.002,0.002,0.039,0.000,3.97e-01
8.688,-0.062,0.438,0.609,-0.006,-0.044,0.078,0.005,5.84e-01
8.750,-4.750,0.300,0.433,0.002,0.002,0.032,0.000,4.12e-01
8.813,-1.188,0.688,0.716,0.038,0.023,0.060,0.000,5.17e-01
8.813,-0.688,0.813,0.778,0.045,0.014,0.067,0.001,6.47e-01
8.813,1.562,0.175,0.204,0.013,0.002,0.054,0.000,4.69e-01
8.938,-0.812,4.813,0.743,-0.125,-0.048,-0.159,0.241,7.83e-01
8.938,-0.688,0.813,0.777,0.043,0.013,0.066,0.001,6.54e-01
8.938,-0.062,0.438,0.613,-0.006,-0.042,0.075,0.005,5.78e-01
8.938,2.062,0.563,0.701,-0.031,0.013,0.047,0.000,4.74e-01
9.063,-0.688,0.688,0.674,0.018,0.008,0.064,0.001,6.45e-01
9.063,1.562,0.175,0.203,0.014,0.002,0.052,0.000,4.73e-01
9.188,0.812,3.563,1.043,-0.114,0.096,-0.052,0.243,1.44e+00
9.188,1.312,1.438,1.117,-0.096,0.031,0.056,0.000,8.92e+00
9.188,1.688,0.563,0.653,-0.023,0.015,0.050,0.000,4.84e-01
9.188,2.062,0.313,0.394,0.001,0.005,0.045,0.000,4.35e-01
9.250,-3.250,0.070,0.095,0.001,0.000,0.035,0.000,3.97e-01
9.250,-4.750,0.300,0.424,0.001,0.001,0.031,0.000,4.17e-01
9.250,-3.750,0.300,0.418,0.006,0.002,0.033,0.000,4.19e-01
9.250,4.250,0.300,0.422,-0.004,0.002,0.031,0.000,4.18e-01
9.250,4.750,0.300,0.424,-0.001,0.001,0.031,0.000,4.17e-01
9.313,-2.188,2.938,1.109,0.073,-0.062,0.017,0.000,5.73e+01
9.313,0.812,0.313,0.334,0.032,0.004,0.060,0.002,5.59e-01
9.313,1.438,4.063,1.177,-0.028,-0.115,-0.060,0.134,5.43e+00
9.438,-1.812,0.813,0.908,0.053,0.022,0.047,0.000,6.50e-01
9.438,-0.688,0.020,0.025,-0.005,0.000,0.061,0.003,4.29e-01
9.563,-2.688,1.188,1.111,0.050,0.011,0.037,0.000,3.18e+00
9.563,-1.938,0.688,0.804,0.038,0.017,0.045,0.000,5.45e-01
9.563,-0.938,4.688,0.807,-0.037,-0.098,-0.156,0.236,6.83e-01
9.563,-0.188,5.063,0.793,-0.057,0.500,-0.077,0.190,1.09e+00
9.563,1.938,0.175,0.216,0.010,0.002,0.044,0.000,4.43e-01
9.625,-2.875,0.375,0.490,0.008,0.005,0.035,0.000,4.24e-01
9.688,-0.562,4.438,0.730,0.059,0.248,-0.162,0.268,1.02e+00
9.688,0.188,4.188,0.910,-0.035,0.560,-0.105,0.159,1.24e+00
9.688,0.312,4.688,0.781,0.003,0.482,-0.152,0.228,6.61e-01
9.688,0.688,0.175,0.212,0.030,0.001,0.059,0.003,4.73e-01
9.688,0.938,5.063,0.863,0.153,-0.094,-0.112,0.212,6.51e-01
9.750,-4.750,0.300,0.416,0.001,0.001,0.029,0.000,4.23e-01
9.750,3.750,0.300,0.410,-0.004,0.001,0.031,0.000,4.25e-01
9.813,-1.062,0.938,0.900,0.060,0.028,0.054,0.000,6.88e-01
9.813,0.688,1.938,1.109,-0.100,0.065,0.067,0.006,3.20e+01
9.938,-0.562,0.175,0.232,-0.030,-0.001,0.058,0.003,4.35e-01
9.938,1.188,4.313,1.054,-0.044,-0.109,-0.090,0.202,8.58e-01
10.063,-1.812,0.175,0.209,-0.011,0.001,0.042,0.000,4.61e-01
10.063,0.438,4.938,0.737,0.050,0.345,-0.146,0.243,8.37e-01
10.063,0.938,3.563,1.103,-0.112,0.049,-0.031,0.200,2.13e+00
10.063,2.188,0.438,0.539,-0.007,0.007,0.039,0.000,4.59e-01
10.188,-1.562,0.070,0.080,-0.007,0.000,0.044,0.001,4.75e-01
10.188,-0.188,0.563,0.715,-0.010,-0.038,0.060,0.004,7.28e-01
10.188,0.312,5.813,0.868,0.121,0.197,0.049,0.175,1.19e+00
10.188,1.938,2.063,1.114,-0.081,-0.006,0.035,0.000,2.63e+01
10.250,-3.750,0.300,0.403,0.003,0.001,0.029,0.000,4.30e-01
10.250,-3.250,0.300,0.392,0.003,0.001,0.030,0.000,4.35e-01
10.250,-3.250,0.750,0.915,0.026,0.010,0.031,0.000,6.87e-01
10.250,3.750,0.750,0.925,-0.019,0.008,0.029,0.000,7.02e-01
10.250,3.750,1.250,1.111,-0.023,0.004,0.028,0.000,2.70e+00
10.250,4.250,0.750,0.928,-0.012,0.007,0.027,0.000,7.06e-01
10.250,4.750,0.750,0.930,-0.004,0.007,0.027,0.000,7.08e-01
10.438,-0.562,0.688,0.708,0.002,-0.006,0.052,0.002,7.44e-01
10.438,1.188,4.813,1.000,0.041,-0.150,-0.103,0.183,7.36e-01
10.563,-2.438,0.175,0.223,-0.007,0.001,0.034,0.000,4.31e-01
10.563,0.562,5.938,0.974,0.165,0.114,0.035,0.136,8.74e-01
10.563,2.688,0.175,0.226,0.005,0.001,0.032,0.000,4.24e-01
10.625,-2.875,0.875,0.980,0.034,0.012,0.031,0.000,8.61e-01
10.688,-2.438,0.938,1.004,0.043,0.015,0.034,0.000,9.40e-01
10.688,-1.062,3.438,1.138,0.115,0.016,-0.012,0.140,5.64e+00
10.688,2.438,0.563,0.684,-0.016,0.009,0.033,0.000,4.95e-01
10.750,-4.750,0.750,0.920,0.004,0.006,0.025,0.000,7.05e-01
10.750,-4.750,1.250,1.108,0.004,0.002,0.025,0.000,2.62e+00
10.750,-4.750,2.250,1.116,0.004,-0.015,0.023,0.000,3.19e+01
10.750,-4.250,0.300,0.401,0.001,0.001,0.025,0.000,4.33e-01
10.750,-3.750,0.300,0.398,0.002,0.001,0.026,0.000,4.35e-01
10.750,-3.750,1.250,1.108,0.022,0.004,0.026,0.000,2.56e+00
10.750,4.750,0.750,0.920,-0.004,0.006,0.025,0.000,7.05e-01
10.813,-1.062,3.438,1.138,0.115,0.016,-0.011,0.137,6.07e+00
10.813,-0.188,5.438,0.840,-0.066,0.428,-0.033,0.181,1.57e+00
10.813,0.688,5.688,0.872,0.204,0.066,-0.019,0.185,1.08e+00
10.813,1.062,4.813,0.897,0.012,-0.120,-0.122,0.207,7.50e-01
10.938,-0.562,5.313,0.768,-0.127,0.206,-0.107,0.230,1.89e+00
10.938,-0.188,4.438,0.939,0.030,0.529,-0.096,0.155,1.38e+00
10.938,-1.938,0.070,0.084,-0.005,0.000,0.035,0.000,4.50e-01
11.063,-1.812,0.175,0.204,-0.011,0.001,0.035,0.000,4.74e-01
11.063,-0.938,1.063,0.950,0.057,0.024,0.044,0.000,8.64e-01
11.063,1.188,0.813,0.789,-0.031,0.020,0.041,0.000,6.20e-01
11.063,2.062,0.175,0.212,0.009,0.001,0.033,0.000,4.55e-01
11.125,2.875,0.375,0.471,-0.002,0.003,0.027,0.000,4.46e-01
11.188,-1.437,0.070,0.078,-0.007,0.000,0.037,0.001,4.92e-01
11.188,-1.687,0.020,0.023,-0.002,0.000,0.035,0.000,4.64e-01
11.188,0.438,4.938,0.791,0.002,0.362,-0.140,0.238,7.91e-01
11.188,0.688,0.070,0.090,0.013,0.000,0.044,0.003,4.25e-01
11.250,-4.250,0.750,0.909,0.010,0.007,0.023,0.000,7.01e-01
